x0,x1,weight
19.19,24.92,1.0
17.34,24.34,1.0
17.46,22.06,1.0
19.84,24.46,1.0
15.35,22.26,1.0
14.79,20.34,1.0
17.39,23.85,1.0
17.06,25.95,1.0
19.59,26.86,1.0
21.21,22.92,1.0
153.35,39.55,1.0
148.98,43.46,1.0
155.09,39.89,1.0
153.03,42.91,1.0
155.33,42.85,1.0
150.01,39.75,1.0
156.39,44.4,1.0
154.06,42.77,1.0
148.79,41.93,1.0
154.44,44.88,1.0
179.43,-155.57,1.0
181.61,-154.14,1.0
182.23,-157.55,1.0
182.27,-156.94,1.0
183.2,-154.2,1.0
179.19,-156.13,1.0
181.15,-156.38,1.0
177.8,-157.03,1.0
176.91,-152.08,1.0
180.13,-155.65,1.0
-193.01,-91.93,1.0
-191.36,-92.8,1.0
-191.75,-92.16,1.0
-192.67,-93.03,1.0
-192.58,-94.54,1.0
-190.73,-95.53,1.0
-193.06,-93.85,1.0
-191.21,-96.59,1.0
-193.46,-97.85,1.0
-192.62,-94.53,1.0
130.97,-190.57,1.0
126.5,-189.99,1.0
126.61,-188.74,1.0
122.21,-183.97,1.0
123.6,-185.76,1.0
126.51,-189.79,1.0
125.33,-191.46,1.0
123.43,-188.17,1.0
123.14,-192.51,1.0
127.29,-186.01,1.0
-34.73,-122.94,1.0
-36.81,-124.76,1.0
-36.12,-127.99,1.0
-33.5,-123.07,1.0
-37.28,-121.88,1.0
-38.07,-123.2,1.0
-36.46,-121.99,1.0
-37.28,-122.56,1.0
-38.14,-125.13,1.0
-36.57,-127.72,1.0
214.1,-125.22,1.0
213.52,-125.69,1.0
212.72,-126.53,1.0
215.5,-122.54,1.0
216.09,-126.36,1.0
216.89,-126.76,1.0
215.24,-126.82,1.0
215.22,-127.51,1.0
209.02,-128.89,1.0
215.02,-128.05,1.0
-29.85,202.02,1.0
-29.89,208.1,1.0
-28.18,204.95,1.0
-28.16,205.73,1.0
-33.65,208.3,1.0
-27.18,207.57,1.0
-30.41,204.53,1.0
-30.71,205.77,1.0
-26.91,205.95,1.0
-28.33,204.82,1.0
-136.91,212.73,1.0
-136.93,214.34,1.0
-138.99,213.02,1.0
-141.23,210.94,1.0
-140.25,210.47,1.0
-138.62,210.39,1.0
-140.21,209.96,1.0
-142.95,212.25,1.0
-140.02,210.87,1.0
-139.15,212.31,1.0
195.05,129.64,1.0
197.66,127.5,1.0
196.54,131.59,1.0
199.32,125.36,1.0
197.09,130.77,1.0
196.22,130.87,1.0
199.64,131.05,1.0
200.33,130.15,1.0
200.09,127.83,1.0
199.77,127.88,1.0
151.89,115.66,1.0
153.83,116.99,1.0
150.96,117.95,1.0
153.57,117.04,1.0
151.59,115.94,1.0
155.11,123.15,1.0
151.98,115.91,1.0
153.54,116.31,1.0
150.46,116.75,1.0
149.11,120.06,1.0
143.41,-87.46,1.0
143.18,-89.77,1.0
147.48,-86.7,1.0
139.24,-88.4,1.0
142.91,-89.46,1.0
143.61,-86.99,1.0
142.48,-87.36,1.0
141.86,-90.87,1.0
140.69,-86.88,1.0
146.91,-87.86,1.0
159.06,162.3,1.0
159.02,161.25,1.0
159.35,159.19,1.0
159.78,161.3,1.0
159.9,160.34,1.0
156.98,157.84,1.0
154.57,158.97,1.0
161.31,163.1,1.0
160.05,159.69,1.0
159.77,162.63,1.0
-238.3,-24.07,1.0
-236.24,-24.37,1.0
-232.64,-23.8,1.0
-235.51,-23.68,1.0
-232.01,-23.33,1.0
-232.6,-24.39,1.0
-234.06,-26.05,1.0
-234.2,-26.03,1.0
-235.76,-24.57,1.0
-234.39,-26.08,1.0
-47.23,67.04,1.0
-47.59,70.67,1.0
-44.75,67.25,1.0
-45.23,70.25,1.0
-46.19,65.93,1.0
-44.85,66.67,1.0
-43.25,69.6,1.0
-46.9,64.28,1.0
-45.64,66.47,1.0
-47.74,66.31,1.0
77.73,22.58,1.0
79.68,20.84,1.0
82.9,22.45,1.0
80.98,24.88,1.0
81.82,24.74,1.0
80.36,23.52,1.0
80.55,22.75,1.0
79.05,24.74,1.0
81.81,21.55,1.0
80.74,22.18,1.0
117.67,13.13,1.0
117.77,16.53,1.0
119.29,14.77,1.0
114.41,13.24,1.0
113.58,14.87,1.0
114.84,13.86,1.0
117.45,17.2,1.0
117.7,11.02,1.0
118.97,15.42,1.0
116.76,11.2,1.0
-144.9,-9.38,1.0
-146.9,-11.57,1.0
-140.64,-12.44,1.0
