index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,-51.86,-64.09,0,1,1,999,-1,0,-1
1,-154.07,0,1,15.32,21.835,3.93001,712,0,3
2,0,1,-161.11,0,0,0.729996,188,0,-1
3,1,129.91,0,1,21.5,5.95,576,0,7
4,-115.51,0,1,61.4,-9.38999,0.959999,289,0,4
5,0,1,188.11,0,0,1.5,104,0,-1
6,1,32.22,0,1,14.5,1.11,246,0,1
7,-159.84,0,1,13.96,22.335,0.100006,166,0,3
8,0,1,-188.69,0,0,0.919998,596,0,-1
9,1,22.5,0,1,18,0.0499992,564,0,1
10,127.68,0,1,88.97,253.94,0.709999,205,0,6
11,0,1,21.15,0,0,1.04,191,0,-1
12,1,-69.2,0,1,20.5,0.579994,138,0,9
13,-9.57,0,1,12.87,-12.74,0.41,310,0,5
14,0,1,-122.36,0,0,0.409996,26,0,-1
15,1,61.72,0,1,21.5,0.720001,111,0,1
16,91.43,0,1,159.34,118.41,7.08,505,0,8
17,0,1,-85.72,0,0,0.130005,554,0,-1
18,1,106.33,0,1,16,0.209999,201,0,7
19,0.48,0,1,-132.26,-469.055,0.84,97,0,8
20,0,1,-55.65,0,0,2.16,347,0,5
21,1,132.28,0,1,20,0.179993,105,0,7
22,-213.65,0,1,-3.64,191.845,1.14999,706,0,11
23,0,1,-47.62,0,0,0.379997,632,0,5
24,1,36.51,0,1,14,0.25,420,0,1
25,18.55,0,1,-140.58,-334.805,4.98,520,0,8
26,0,1,-122.77,0,0,0.810005,293,0,-1
27,1,48.16,0,1,27,0.48,306,0,1
28,-166.44,0,1,16.84,-19.815,0.160004,256,0,3
29,0,1,-13.05,0,-297.005,0.0100002,83,0,5
30,1,-58.56,0,1,18.5,0.539997,255,0,9
31,51.74,0,1,-158.93,78.805,0.179996,175,0,8
32,0,1,-77.22,0,0,0.639999,53,0,-1
33,1,-172.35,0,1,12,0.76001,546,0,-1
34,131.1,0,1,83.15,311.19,0.849991,523,0,6
35,0,1,-5.18,0,-385.115,1.49,317,0,5
36,1,104.19,0,1,17,0.510002,120,0,7
37,9.48,0,1,62.31,-256.675,0.73,601,0,8
38,0,1,-59.22,0,0,1.3,41,0,-1
39,1,-5.84,0,1,-381.615,0.59,528,0,8
40,-15.79,0,1,-86.58,-132.02,0.349999,148,0,5
41,0,1,-57.92,0,0,0.0599976,167,0,-1
42,1,15.95,0,1,-234.285,5.4,114,0,1
43,34.99,0,1,101.17,173.665,1.48,418,0,8
44,0,1,112.96,0,0,0.5,251,0,-1
45,1,-153.18,0,1,12.5,0.600006,450,0,-1
46,71.94,0,1,92.9,294.71,1.00999,727,0,8
47,0,1,94.89,0,0,1.33,269,0,-1
48,1,2.79,0,1,-386.115,2.05039,750,0,8
49,29.48,0,1,-56.36,110.12,0.810001,439,0,8
50,0,1,74.55,0,0,1.95,218,0,-1
51,1,-105.16,0,1,16,0.580002,501,0,9
52,114.46,0,1,126.03,312.84,17.49,523,0,6
53,0,1,-77.86,0,0,1.2,608,0,-1
54,1,-41.02,0,1,16,0.389999,594,0,0
55,116.09,0,1,17.28,192.425,0.149994,526,0,6
56,0,1,40.38,0,0,1.35,287,0,-1
57,1,-125.66,0,1,8.5,1.3,681,0,9
58,40.72,0,1,103.52,301.245,1.01,181,0,8
59,0,1,125.53,0,0,4.33,179,0,-1
60,1,-82.76,0,1,31.5,0.599998,261,0,9
61,36.7,0,1,51.54,249.445,0.0699997,382,0,8
62,0,1,102.05,0,0,1.82999,683,0,-1
63,1,130.53,0,1,19.5,0.619995,3,0,7
64,47.15,0,1,148.29,220.725,1.42,688,0,8
65,0,1,25.95,0,0,0.0799999,380,0,-1
66,1,-3.9,0,1,-382.115,1.03,678,0,8
67,132.6,0,1,26.51,241.905,0.650009,523,0,6
68,0,1,51.19,0,0,0.0600014,401,0,-1
69,1,-35.03,0,1,17.5,0.079998,453,0,0
70,24.48,0,1,62.99,65.915,0.0499992,367,0,8
71,0,1,45.17,0,0,0.939999,449,0,-1
72,1,-36.15,0,1,16.5,0.0399971,558,0,0
73,-55.46,0,1,-79.69,-67.97,3.8,742,0,5
74,0,1,-143.03,0,0,2.50999,80,0,-1
75,1,-219.73,0,1,2.5,4.22,723,0,-1
76,-149.62,0,1,122.34,36.66,0.520004,712,0,3
77,0,1,71.08,0,0,0.0800018,263,0,-1
78,1,16.77,0,1,-258.315,0.820001,42,0,1
79,-101.8,0,1,14.19,3.25503,0.389999,394,0,4
80,0,1,-145.54,0,0,5.28,359,0,-1
81,1,-73.05,0,1,21.5,0.559998,228,0,9
82,-35.19,0,1,-123.45,83.57,0.48,121,0,5
83,0,1,-13.04,0,-297.005,0.16,530,0,5
84,1,43.2,0,1,14,1.97,654,0,1
85,-177.34,0,1,5.11,144.98,7.92999,496,0,3
86,0,1,-158.96,0,0,0.940002,536,0,-1
87,1,10.12,0,1,-393.685,1.04,741,0,8
88,24.61,0,1,-7.56,30.64,0.130001,70,0,8
89,0,1,-174.74,0,0,3.10001,743,0,-1
90,1,-155.4,0,1,12.5,0.00999451,705,0,-1
91,-40.54,0,1,20.9,39.025,1.32,235,0,5
92,0,1,63.83,0,0,0.980003,584,0,-1
93,1,73.25,0,1,19,2.54,624,0,1
94,-106.24,0,1,127.13,107.245,2.4,370,0,4
95,0,1,-22.27,0,0,1.43,728,0,5
96,1,11.9,0,1,-394.1,0.48,339,0,1
97,1.32,0,1,-79.35,-423.79,0.17,112,0,8
98,0,1,-94.97,0,0,0.120003,452,0,-1
99,1,-15.56,0,1,-284.005,0.0699997,636,0,0
100,-17.01,0,1,147.72,16.695,2.37,433,0,5
101,0,1,8.36,0,-391.115,0.0700006,434,0,-1
102,1,-63.58,0,1,19.5,1.78,351,0,9
103,34.26,0,1,-21.73,124.88,0.730003,43,0,8
104,0,1,186.61,0,0,6.10001,716,0,-1
105,1,132.1,0,1,20,1.04999,108,0,7
106,47.11,0,1,-177.36,57.9,0.0400009,64,0,8
107,0,1,139.46,0,0,0.710007,260,0,-1
108,1,133.15,0,1,20,3.23999,3,0,7
109,-110.85,0,1,-62.62,-100.49,1.34,325,0,4
110,0,1,158.09,0,0,1.55,437,0,-1
111,1,61,0,1,22,1.96,690,0,1
112,1.49,0,1,6.74,-380.745,4.98,193,0,8
113,0,1,-139.32,0,0,0.189987,467,0,-1
114,1,21.35,0,1,18,1.1,564,0,1
115,-71.69,0,1,-27.43,-200.775,2.45,331,0,5
116,0,1,82.43,0,0,0.510002,587,0,-1
117,1,-84.87,0,1,35.5,0.829994,444,0,9
118,76.04,0,1,53.26,334.73,3.09,727,0,8
119,0,1,-113.22,0,0,0.739998,521,0,-1
