index,x0,x1,weight,rho,delta,nh,isSeed,clusterId
0,-51.86,-64.09,1,16,1.12272,297,0,5
1,171.87,-154.07,1,23.5,2.59943,495,0,1
2,-108.29,15.32,1,25,4.69145,10,0,0
3,175.75,-161.11,1,21.5,1.18228,251,0,1
4,-111.26,129.91,1,14.5,4.88806,144,0,4
5,165.02,-115.51,1,17,4.13943,554,0,1
6,-53.66,61.4,1,26,1.09877,721,0,2
7,-139.17,188.11,1,5,5.30829,465,0,4
8,-110.05,32.22,1,22.5,2.92985,260,0,0
9,175.94,-159.84,1,22.5,3.39599,115,0,1
10,-103.8,13.96,1,27,0.983108,780,0,0
11,181.01,-188.69,1,8,11.409,142,0,1
12,-101.71,22.5,1,24.5,5.15641,754,0,0
13,-116.16,127.68,1,11.5,5.38358,4,0,4
14,-79.17,88.97,1,24.5,0.139999,294,0,4
15,-16.93,21.15,1,15,0.362353,870,0,2
16,-65.61,-69.2,1,9,3.81435,184,0,5
17,76.04,-9.57,1,7.5,6.54281,516,0,3
18,-100.32,12.87,1,27.5,1.76955,128,0,0
19,168.81,-122.36,1,18.5,3.71673,76,0,1
20,-37.49,61.72,1,24.5,1.13864,809,0,2
21,-78.55,91.43,1,24,2.53693,14,0,4
22,-111.72,159.34,1,10,5.16651,877,0,4
23,106.52,-85.72,1,17,5.04732,258,0,3
24,-92.02,106.33,1,26.5,2.61842,361,0,4
25,-110.99,0.48,1,22,2.21416,250,0,0
26,167.88,-132.26,1,26,5.03573,517,0,1
27,-63.53,-55.65,1,19,1.33255,878,0,5
28,-97.34,132.28,1,19.5,2.86565,140,0,4
29,219.79,-213.65,1,5.5,2.48709,851,0,1
30,-28.96,-3.64,1,2,15.7403,577,0,5
31,84.57,-47.62,1,12,5.8867,760,0,3
32,-103.57,36.51,1,18,0.224726,81,0,0
33,-24.9,18.55,1,13,5.77235,255,0,2
34,175.83,-140.58,1,23,2.27495,498,0,1
35,154.07,-122.77,1,25.5,2.7889,480,0,3
36,-140.31,48.16,1,12,2.51191,664,0,0
37,190.81,-166.44,1,16.5,0.639999,169,0,1
38,-4.19,16.84,1,12.5,7.39625,752,0,2
39,-94.04,-13.05,1,25.5,2.62728,329,0,0
40,95.24,-58.56,1,18.5,6.053,717,0,3
41,-53.8,51.74,1,19.5,2.8352,416,0,2
42,187.09,-158.93,1,18.5,5.18054,715,0,1
43,127.22,-77.22,1,25,3.30974,803,0,3
44,186.61,-172.35,1,17.5,3.65098,119,0,1
45,-101.16,131.1,1,19.5,4.7224,273,0,4
46,-72.95,83.15,1,26,1.40911,634,0,2
47,-97.06,-5.18,1,31,2.13359,194,0,0
48,-161.15,104.19,1,7,3.04907,58,0,0
49,-10.02,9.48,1,13,6.35916,288,0,2
50,-126.79,62.31,1,11,7.94135,853,0,0
51,-43.89,-59.22,1,15.5,4.40768,97,0,5
52,-98.46,-5.84,1,30,1.54777,47,0,0
53,-73.14,-15.79,1,20.5,3.753,748,0,0
54,160.67,-86.58,1,6,8.53037,595,0,3
55,-55.9,-57.92,1,19.5,3.2997,218,0,5
56,-96.79,15.95,1,24.5,2.09612,784,0,0
57,25.75,34.99,1,1,20.3838,557,0,3
58,-160.73,101.17,1,7,3.36703,83,0,0
59,-82.12,112.96,1,30,1.36999,245,0,4
60,183.96,-153.18,1,19.5,5.22557,715,0,1
61,-44.71,71.94,1,24.5,2.51454,402,0,2
62,-59.66,92.9,1,26.5,1.87011,386,0,2
63,-60.87,94.89,1,25.5,0.477595,277,0,2
64,-97.49,2.79,1,30,2.13122,365,0,0
65,-18.16,29.48,1,17.5,3.74478,87,0,2
66,-43.31,-56.36,1,14.5,2.91822,51,0,5
67,-49.27,74.55,1,29.5,2.02339,291,0,2
68,166.78,-105.16,1,12,7.45574,263,0,3
69,-76.4,114.46,1,28,0.857962,225,0,4
70,-85.1,126.03,1,26,4.91684,239,0,4
71,131.02,-77.86,1,22,2.03532,235,0,3
72,-74.89,-41.02,1,22.5,3.57985,772,0,5
73,-72.81,116.09,1,23.5,3.94272,69,0,4
74,-1.31,17.28,1,11,2.91342,38,0,2
75,-108.14,40.38,1,21,5.13981,735,0,0
76,167.1,-125.66,1,23.5,6.64592,26,0,1
77,-139.62,40.72,1,12.5,1.95604,377,0,0
78,-87.89,103.52,1,28.5,3.07883,684,0,4
79,-93.73,125.53,1,26.5,4.81981,590,0,4
80,116.97,-82.76,1,28,3.52001,881,0,3
81,-103.69,36.7,1,18,1.83308,443,0,0
82,-34.76,51.54,1,24.5,1.53287,240,0,2
83,-157.48,102.05,1,7,6.54833,396,0,0
84,-76.09,130.53,1,15.5,5.66464,886,0,4
85,-124.54,47.15,1,18,1.98495,95,0,0
86,-122.47,148.29,1,11,3.29427,378,0,4
87,-16.91,25.95,1,18,11.8678,354,0,2
88,14.11,-3.9,1,5,12.7739,423,0,2
89,-77.91,132.6,1,14.5,2.75633,84,0,4
90,-104.54,26.51,1,23.5,1.62936,302,0,0
91,-128.34,51.19,1,17,5.03302,855,0,0
92,-87.81,-35.03,1,20,3.74258,709,0,5
93,-97.02,24.48,1,20.5,3.07539,428,0,0
94,-61.97,62.99,1,20.5,5.27197,696,0,2
95,-124.68,45.17,1,19,3.91542,241,0,0
96,-74.24,-36.15,1,23.5,2.17589,418,0,5
97,-46.19,-55.46,1,16,4.50371,463,0,5
98,-36.85,-79.69,1,9.5,2.94688,281,0,5
99,169.16,-143.03,1,28,2.2554,201,0,1
100,228.74,-219.73,1,3.5,10.8198,29,0,1
101,185.29,-149.62,1,17.5,3.80032,60,0,1
102,-68.05,122.34,1,15.5,5.39134,596,0,4
103,-59.42,71.08,1,27.5,4.45657,606,0,2
104,-98.72,16.77,1,24,0.995387,311,0,0
105,150.8,-101.8,1,26,1.03586,648,0,3
106,-47.72,14.19,1,2.5,7.56485,958,0,0
107,144.47,-145.54,1,10,2.13377,580,0,1
108,120.15,-73.05,1,24.5,4.00262,176,0,3
109,-49.2,-35.19,1,16.5,3.01629,659,0,5
110,150.67,-123.45,1,24,0.739999,679,0,3
111,-97.93,-13.04,1,23,1.414,808,0,0
112,-141.25,43.2,1,10.5,2.96771,77,0,0
113,183.99,-177.34,1,16.5,2.60376,119,0,1
114,-111.71,5.11,1,22.5,4.10572,558,0,0
115,179.22,-158.96,1,24.5,11.4142,444,0,1
116,-12.24,10.12,1,12.5,2.31041,49,0,2
117,-130.71,24.61,1,11.5,6.28208,818,0,0
118,-76.86,-7.56,1,20,4.86004,575,0,0
119,183.85,-174.74,1,17.5,7.63081,781,0,1
120,160.24,-155.4,1,20.5,1.59529,165,0,1
121,-58.71,-40.54,1,26,2.13063,729,0,5
122,-14.38,20.9,1,15,2.38103,870,0,2
123,-44.38,63.83,1,28.5,0.38833,665,0,2
124,-66.11,73.25,1,25.5,1.30384,550,0,2
125,150.05,-106.24,1,27,0.728974,374,0,3
126,-86.7,127.13,1,24,1.94165,70,0,4
127,105.5,-22.27,1,6,5.24744,445,0,3
128,-101.8,11.9,1,28,4.04649,801,0,0
129,-0.83,1.32,1,9,3.88561,440,0,2
130,-30.17,-79.35,1,11.5,12.1111,156,0,5
131,-29.77,-94.97,1,11.5,15.0666,156,0,5
132,-107.18,-15.56,1,15.5,3.62283,366,0,0
133,-85.73,-17.01,1,26.5,2.42406,163,0,0
134,-130.41,147.72,1,7.5,4.66499,868,0,4
135,-99.07,8.36,1,28,0.433822,801,0,0
136,86.95,-63.58,1,13.5,4.15249,146,0,3
137,-12.83,34.26,1,16,6.41215,755,0,2
138,-92.92,-21.73,1,21,4.5722,582,0,0
139,-119.21,186.61,1,4.5,3.64588,885,0,4
140,-94.48,132.1,1,21.5,6.61268,79,0,4
141,-36.14,47.11,1,26,18.6402,123,0,2
142,182.35,-177.36,1,16,1.64012,113,0,1
143,-109.71,139.46,1,17,8.21518,697,0,4
144,-107.6,133.15,1,16.5,1.71126,697,0,4
145,158.45,-110.85,1,22,4.33038,456,0,3
146,90.99,-62.62,1,15.5,0.671866,589,0,3
147,-105.49,158.09,1,10,2.94681,382,0,4
148,-155.52,61,1,6.5,4.71739,203,0,0
149,-77.93,1.49,1,14.5,2.11691,833,0,0
150,-99.93,6.74,1,29.5,1.07448,257,0,0
151,169.57,-139.32,1,25.5,1.03325,788,0,1
152,-106.76,21.35,1,27.5,8.92323,780,0,0
153,-55.62,-71.69,1,14.5,8.41492,297,0,5
154,82.45,-27.43,1,13,1.85744,960,0,3
155,-42.53,82.43,1,18,0.518556,865,0,2
156,-40.95,-84.87,1,12,11.556,508,0,5
157,-34.29,76.04,1,17,4.20364,358,0,2
158,-43.75,53.26,1,23,4.71038,535,0,2
159,150.87,-113.22,1,27.5,7.04287,743,0,3
160,-72.53,103.68,1,29,3.17158,757,0,4
161,23.73,-35.67,1,2.5,12.1876,857,0,2
162,-52.43,-32.81,1,18.5,1.82014,659,0,5
163,-87.68,-15.57,1,27.5,6.73286,329,0,0
164,103.52,-61.73,1,23,2.96083,340,0,3
165,161.09,-154.05,1,22.5,0.661215,591,0,1
166,-7.48,-2.54,1,7.5,5.23539,211,0,2
167,-2.31,-137.18,1,4,2.41821,967,0,5
168,-70.73,115.21,1,21.5,2.25849,73,0,4
169,191.45,-166.44,1,16.5,2.44377,719,0,1
170,200.98,-155.11,1,8.5,7.59977,181,0,1
171,71.53,-5.94,1,6,5.78939,17,0,3
172,132.76,-104.13,1,31,2.82646,513,0,3
173,194.81,-189.4,1,9.5,2.85848,453,0,1
174,-101.16,137.53,1,17,1.63266,264,0,4
175,-35.85,-102.92,1,7,6.48799,520,0,5
176,123.74,-74.82,1,25.5,4.92349,803,0,3
177,43.31,53.83,1,2,3.60588,486,0,3
178,-104.28,115.56,1,21.5,2.43516,810,0,4
179,135.97,-88.58,1,31.5,1.67573,398,0,3
180,-78.34,-19.3,1,23.5,2.5212,748,0,0
181,196.29,-161.09,1,13,2.25622,249,0,1
182,165.15,-146.08,1,25.5,1.40057,856,0,1
183,153.43,-138.48,1,22,0.0447241,451,0,1
184,-61.84,-68.62,1,10.5,4.06389,419,0,5
185,-67.68,91.94,1,27.5,3.65309,352,0,2
186,-1.6,-129.2,1,4,3.75033,794,0,5
187,105.53,-45.28,1,14.5,1.83142,395,0,3
188,-96.9,107.96,1,23,0.781087,524,0,4
189,87.98,-3.82,1,5,13.2348,516,0,3
190,123.17,-88.32,1,30.5,1.84784,827,0,3
191,116.59,-93.14,1,22,2.14218,482,0,3
192,-96.11,135.7,1,17.5,3.63446,28,0,4
193,-100.89,108.22,1,22,3.28977,524,0,4
194,-98.05,-3.29,1,31,9.10167,315,0,0
195,-68,-74.75,1,7,6.04273,16,0,5
196,-13.03,-77.27,1,5,5.73127,210,0,5
197,-98.14,-16.14,1,21,3.1071,111,0,0
198,-69.93,89.41,1,27,2.87848,352,0,2
199,111.24,-88.92,1,20,1.5508,258,0,3
200,-73.4,-31.43,1,26.5,2.94267,371,0,5
201,167.18,-144.11,1,28,9.20662,517,0,1
202,-112.84,147.99,1,13.5,7.76843,429,0,4
203,-156.69,65.57,1,7,2.77723,253,0,0
204,107.56,-90.69,1,14,4.08354,199,0,3
205,128.65,-87.66,1,28,2.47132,739,0,3
206,-11.53,-112.07,1,5.5,9.23741,602,0,5
207,-90.01,120.17,1,30.5,2.83426,590,0,4
208,99.22,-52.42,1,19,3.61942,730,0,3
209,-110.73,123.56,1,15.5,7.0982,731,0,4
210,-11.68,-82.84,1,5,5.57819,266,0,5
211,-9.5,2.29,1,10,7.20878,49,0,2
212,118.01,-59.34,1,20,1.58256,727,0,3
213,-97.36,99.07,1,19,6.25039,733,0,4
214,169.39,-136.18,1,25.5,2.18478,788,0,1
215,-131.64,169.64,1,4.5,2.05974,274,0,4
216,135.93,-113.76,1,26,1.16903,793,0,3
217,-22.6,-124.18,1,2.5,11.863,764,0,5
218,-55.54,-54.64,1,19.5,5.5723,357,0,5
219,-41.48,59.74,1,25.5,3.40077,809,0,2
220,-18.6,-90.09,1,9,8.78191,603,0,5
221,169.61,-159.94,1,19,5.54564,251,0,1
222,-143.55,51.67,1,12.5,7.28387,664,0,0
223,136.61,-57.86,1,4.5,6.79473,989,0,3
224,-53.18,66.79,1,31,9.81579,617,0,2
225,-76.96,113.81,1,29.5,1.88809,335,0,4
226,-41.43,78.1,1,20.5,4.48415,342,0,2
227,96.36,-44.58,1,18,5.92423,457,0,3
228,-172.04,96.52,1,6.5,12.2286,58,0,0
229,-93.9,31.42,1,13.5,4.86988,328,0,0
230,0.57,0.08,1,8.5,1.87019,129,0,2
231,122.89,-73.61,1,24,0.93,304,0,3
232,-116.6,150.56,1,12.5,4.55439,202,0,4
233,-43.94,51.92,1,22,0.700072,769,0,2
234,-69.34,-40.85,1,28,4.22995,610,0,5
235,130.7,-79.87,1,24.5,4.37411,43,0,3
236,-52.84,85.89,1,27,3.52325,698,0,2
237,-111.37,71.51,1,3.5,12.9447,832,0,0
238,-91,110.31,1,29,4.47045,417,0,4
239,-86.02,121.2,1,31.5,5.1386,372,0,4
240,-34.4,50.05,1,25,3.41631,141,0,2
241,-122.81,41.73,1,21.5,4.01278,494,0,0
242,-13.56,20.12,1,14.5,1.13172,122,0,2
243,-104.28,30.97,1,21.5,2.4683,874,0,0
244,-111.99,162.24,1,9.5,2.91255,22,0,4
245,-83,111.91,1,31.5,2.54031,644,0,4
246,-89.19,-17.59,1,24.5,2.522,163,0,0
247,-27.62,-102.04,1,8.5,2.51114,520,0,5
248,-44.24,-67.95,1,14,8.5419,0,0,5
249,196.56,-163.33,1,14,2.99188,389,0,1
250,-112.02,2.44,1,22,2.68794,114,0,0
251,174.82,-161.84,1,21.5,2.29225,9,0,1
252,-122.96,53.64,1,15.5,5.91159,91,0,0
253,-157.2,68.3,1,7,6.25212,314,0,0
254,-64.49,56.67,1,13,5.81557,514,0,2
255,-20.42,22.19,1,17.5,4.0707,720,0,2
256,107.1,-72.75,1,26,0.645603,819,0,3
257,-98.89,6.47,1,29.5,3.93731,64,0,0
258,111.29,-87.37,1,20.5,3.97283,860,0,3
259,-182.07,114.45,1,4.5,2.41207,497,0,0
260,-112.33,30.38,1,24,8.70791,754,0,0
261,-83.24,138.86,1,13,5.84829,667,0,4
262,-42.45,-72.04,1,12.5,4.46455,248,0,5
263,159.4,-104.1,1,18,6.81652,145,0,3
264,-100.32,136.13,1,18,4.86857,28,0,4
265,-13.28,-146.46,1,3.5,5.70671,301,0,5
266,-16.17,-86.15,1,8.5,2.93518,654,0,5
267,121.72,-80.22,1,29,3.19312,348,0,3
268,-92.59,106.12,1,26,0.607453,24,0,4
269,-111.74,177.71,1,5,14.0173,885,0,4
270,122.23,-63.03,1,18.5,3.17718,468,0,3
271,-82.71,89.98,1,19.5,3.68126,14,0,4
272,-66.16,-1.4,1,9,6.1314,336,0,0
273,-98.87,126.97,1,24,5.3379,79,0,4
274,-131.84,167.59,1,5,4.21431,393,0,4
275,-96.97,-10.62,1,26.5,2.36812,413,0,0
276,181.54,-144.65,1,20.5,3.45567,716,0,1
277,-61.03,94.44,1,25.5,2.06119,62,0,2
278,-29.17,55.73,1,21,6.0208,363,0,2
279,-53.71,-81.38,1,11,7.38935,508,0,5
280,115.47,-63.38,1,23.5,5.07055,404,0,3
281,-34.45,-81.4,1,11,4.74562,130,0,5
282,107.59,-58,1,23,2.92474,340,0,3
283,-28.16,-87.08,1,11,7.98706,130,0,5
284,128.65,-98.74,1,28,2.98964,430,0,3
285,-116.68,45.89,1,19.5,2.26241,714,0,0
286,-50.52,47.21,1,20,5.41244,474,0,2
287,-142.11,65.6,1,10,10.9219,779,0,0
288,-13.07,15.06,1,14,5.08367,242,0,2
289,134.53,-106.74,1,28.5,3.15357,172,0,3
290,169.58,-115.97,1,13,4.58314,5,0,1
291,-49.81,76.5,1,29.5,2.71661,746,0,2
292,-95.97,117.57,1,31.5,9.09723,887,0,4
293,-204.52,134.43,1,2.5,12.5913,930,0,0
294,-79.17,88.83,1,24.5,6.56558,454,0,4
295,152.2,-132.19,1,23.5,4.67287,476,0,3
296,10.34,-20.98,1,3,11.5392,915,0,2
297,-52.92,-63.72,1,16,6.13114,552,0,5
298,152.41,-123.18,1,24.5,1.70989,35,0,3
299,-4.21,-5.67,1,7,4.52657,166,0,2
300,-87.09,-1.37,1,27,4.08882,704,0,0
301,-7.64,-145.59,1,4,8.49284,967,0,5
302,-105.76,27.59,1,23.5,3.98729,754,0,0
303,-64.98,-45.49,1,27,0.465192,626,0,5
304,123.82,-73.61,1,24,1.21264,176,0,3
305,-92.79,105.03,1,26,1.51093,24,0,4
306,138.23,-120.05,1,22.5,5.15486,863,0,3
307,-87.7,97.69,1,24,5.83309,78,0,4
308,-91.91,9.04,1,23.5,0.503285,816,0,0
309,-73.85,-33.94,1,26,2.55002,200,0,5
310,-121.18,34.39,1,22,3.24891,477,0,0
311,-97.8,17.15,1,24,1.56847,56,0,0
312,-66.12,-44.96,1,27.5,1.34451,626,0,5
313,-51.53,-41.86,1,23.5,7.30033,121,0,5
314,-161.71,72.63,1,7,7.03006,708,0,0
315,-102.79,4.48,1,32,85.7295,617,1,0
316,-73.21,-27.55,1,28.5,3.12866,875,0,5
317,-80.25,116.6,1,29,3.44006,372,0,4
318,-87.29,4.58,1,23,2.3362,556,0,0
319,48.37,-29.29,1,2.5,13.3239,850,0,3
320,-83.28,-18.25,1,25.5,1.25877,660,0,0
321,159.49,-142.83,1,24.5,0.999252,862,0,1
322,184.87,-141.48,1,15,3.55584,479,0,1
323,-103.99,-10.87,1,21.5,3.08263,506,0,0
324,-37.69,54.06,1,24.5,4.26339,759,0,2
325,141.77,-104.39,1,29,1.37321,668,0,3
326,-78.68,107.56,1,31,0.689417,888,0,4
327,133.27,-100.19,1,29,2.96445,513,0,3
328,-98.76,31.11,1,17.5,5.52177,243,0,0
329,-92.53,-10.9,1,28.5,3.59547,392,0,0
330,-39.23,72.61,1,21.5,5.52081,61,0,2
331,-109.2,151.92,1,12.5,5.35672,202,0,4
332,110.96,-59.64,1,23,5.85899,280,0,3
333,-70.16,-44.34,1,24,3.58504,234,0,5
334,-20.62,39.23,1,18.5,1.14691,675,0,2
335,-78.28,112.46,1,30.5,4.75194,245,0,4
