index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,5.51903,-9.63417,-1.27117,1,2911.5,0.41973,8838,0,1
1,-10.228,-4.43557,-1.27117,1,5862.5,0.406007,4937,0,3
2,-11.3353,3.82577,-1.27117,1,4572,0.334762,22,0,0
3,-9.82928,-7.3157,-1.27117,1,2769.5,0.586053,1210,0,3
4,-11.5989,-3.24503,-1.27117,1,3272,0.780397,4913,0,3
5,-8.69267,3.74353,-1.27117,1,4469,0.449322,2889,0,0
6,-10.67,-5.97638,-1.27117,1,4400,0.225201,3942,0,3
7,2.10782,2.83805,-1.27117,1,4418.5,0.0503247,40,0,2
8,2.2168,4.22925,-1.27117,1,5961,0.313745,2893,0,2
9,-8.34305,4.5996,-1.27117,1,3806,0.513143,1618,0,0
10,5.98778,-7.27331,-1.27117,1,4501.5,0.324149,8462,0,1
11,-10.9439,-5.36602,-1.27117,1,4509,0.0924607,97,0,3
12,1.10475,4.65711,-1.27117,1,4409.5,0.28107,3941,0,2
13,6.42263,-6.863,-1.27117,1,4977,0.114739,37,0,1
14,2.63328,4.61925,-1.27117,1,4599,0.191439,3973,0,2
15,-10.3279,-4.38667,-1.27117,1,5798,0.111191,1,0,3
16,5.30401,-8.29361,-1.27117,1,5696,0.336369,2817,0,1
17,3.82855,-7.57388,-1.27117,1,4347,0.298592,24,0,1
18,-8.3263,-5.77048,-1.27117,1,3603.5,0.332388,8830,0,3
19,4.75179,-8.57122,-1.27117,1,5477,0.433824,1610,0,1
20,-10.3532,-5.41832,-1.27117,1,4752,0.246315,29,0,3
21,-8.9642,4.3978,-1.27117,1,4384,0.176738,3953,0,0
22,-11.0006,3.82569,-1.27117,1,4928.5,0.177978,77,0,0
23,-10.1845,-3.70737,-1.27117,1,4218,0.434048,1628,0,3
24,4.09955,-7.69925,-1.27117,1,4545,0.0531394,88,0,1
25,-10.1867,-3.46066,-1.27117,1,3917.5,0.246725,23,0,3
26,-10.0588,5.34309,-1.27117,1,6005.5,0.432204,1623,0,0
27,-9.92433,4.99378,-1.27117,1,4802.5,0.314571,2871,0,0
28,-8.31592,3.33319,-1.27117,1,2654.5,0.3135,3994,0,0
29,-10.113,-5.47273,-1.27117,1,4785.5,0.309923,8494,0,3
30,5.48296,-7.67792,-1.27117,1,4752.5,0.328506,95,0,1
31,-10.7974,-5.90503,-1.27117,1,4379,0.145945,6,0,3
32,-9.60256,2.9376,-1.27117,1,3070,0.328694,8418,0,0
33,-11.4573,-4.80528,-1.27117,1,5056,0.331989,1638,0,3
34,-9.02444,4.56518,-1.27117,1,4499,0.250276,45,0,0
35,5.16752,-6.34219,-1.27117,1,5471.5,0.136764,63,0,1
36,4.27331,-6.53464,-1.27117,1,5384,0.357158,3966,0,1
37,6.31828,-6.81528,-1.27117,1,5120.5,0.176321,3971,0,1
38,2.64839,3.57961,-1.27117,1,5800.5,0.32977,3990,0,2
39,2.02827,4.26788,-1.27117,1,5946,0.192451,8,0,2
40,2.12274,2.88611,-1.27117,1,4456.5,0.180397,3928,0,2
41,-10.7838,-5.20038,-1.27117,1,4648,0.119676,72,0,3
42,-11.1027,6.6196,-1.27117,1,3365.5,0.470664,3950,0,0
43,0.845819,4.83935,-1.27117,1,4145.5,0.316629,12,0,2
44,0.314814,3.82615,-1.27117,1,4720.5,0.318215,8471,0,2
45,-9.21105,4.3984,-1.27117,1,4545,0.110027,3953,0,0
46,-9.43765,5.75313,-1.27117,1,5712.5,0.329159,8410,0,0
47,2.04352,3.94916,-1.27117,1,6006,0.144172,3946,0,2
48,2.32883,3.53552,-1.27117,1,4731,0.243986,73,0,2
49,-0.181282,2.00806,-1.27117,1,2054,0.762595,3970,0,2
50,6.8515,-6.83136,-1.27117,1,4254,0.430035,13,0,1
51,0.358488,1.65769,-1.27117,1,1814,0.643518,49,0,2
52,-9.78389,-5.78372,-1.27117,1,4663,0.345604,1668,0,3
53,-7.79137,-6.40981,-1.27117,1,2856.5,0.603478,2271,0,3
54,1.94744,3.6567,-1.27117,1,5985,0.191109,3946,0,2
55,-10.8299,-6.62589,-1.27117,1,4442.5,0.222527,83,0,3
56,-10.8243,5.29205,-1.27117,1,4555.5,0.324463,1674,0,0
57,2.63053,4.98267,-1.27117,1,4400.5,0.333826,8497,0,2
58,1.19723,2.54979,-1.27117,1,4746.5,0.353343,8433,0,2
59,-9.95668,-4.85477,-1.27117,1,6028,0.320433,8435,0,3
60,5.06825,-7.35459,-1.27117,1,4822.5,0.360535,8806,0,1
61,0.55827,4.51564,-1.27117,1,4039.5,0.332393,3907,0,2
62,-11.6012,-4.63531,-1.27117,1,4776,0.222719,33,0,3
63,5.28177,-6.41737,-1.27117,1,5526.5,0.402689,1682,0,1
64,3.76699,4.93849,-1.27117,1,3339,0.518547,2880,0,2
65,3.69402,-6.62334,-1.27117,1,4868,0.413292,2819,0,1
66,-10.4459,5.66192,-1.27117,1,5801,0.37697,2891,0,0
67,5.81038,-8.79934,-1.27117,1,3979,0.395346,86,0,1
68,-8.1579,3.74559,-1.27117,1,3613,0.303979,3994,0,0
69,1.12664,4.04752,-1.27117,1,5715.5,0.330487,8899,0,2
70,3.44023,2.66092,-1.27117,1,3383.5,0.420546,1695,0,2
71,-11.2844,5.25098,-1.27117,1,4211,0.14041,3968,0,0
72,-10.7054,-5.10996,-1.27117,1,5865.5,0.354235,8814,0,3
73,2.11498,3.65298,-1.27117,1,5981,0.16758,54,0,2
74,-8.78806,-4.85731,-1.27117,1,5376.5,0.341416,1659,0,3
75,-8.90306,5.34843,-1.27117,1,5554,0.382875,8465,0,0
76,-9.41544,6.76605,-1.27117,1,3567.5,0.304978,3979,0,0
77,-10.825,3.85468,-1.27117,1,5095.5,0.24245,3972,0,0
78,-10.4213,6.78911,-1.27117,1,3609.5,0.729649,4765,0,0
79,-0.344923,3.85828,-1.27117,1,3424,0.52862,4910,0,2
80,-10.2762,4.79691,-1.27117,1,4741.5,0.328888,3991,0,0
81,5.03139,-6.73896,-1.27117,1,5814,0.209429,3925,0,1
82,6.21966,-7.39394,-1.27117,1,4314.5,0.261377,10,0,1
83,-10.6154,-6.68511,-1.27117,1,4474.5,0.422065,8409,0,3
84,6.19418,-5.35286,-1.27117,1,2572,0.411954,4901,0,1
85,-9.79503,3.8636,-1.27117,1,5399.5,0.374467,2838,0,0
86,5.94458,-8.42747,-1.27117,1,5243,0.312869,3955,0,1
87,-8.80214,-4.24185,-1.27117,1,4145.5,0.316594,1683,0,3
88,4.14512,-7.67192,-1.27117,1,4572.5,0.273369,3995,0,1
89,5.43835,-7.02402,-1.27117,1,4723.5,0.245057,3963,0,1
90,0.528224,4.80422,-1.27117,1,3837.5,0.29014,61,0,2
91,4.32974,-6.99534,-1.27117,1,4615,0.228084,3966,0,1
92,-10.8035,4.26192,-1.27117,1,5433.5,0.276169,3927,0,0
93,4.66934,3.38306,-1.27117,1,1995,0.824651,8807,0,2
94,-12.0484,6.57909,-1.27117,1,2274,0.41078,8819,0,0
95,5.61323,-7.9795,-1.27117,1,5742,0.364042,8829,0,1
96,3.49682,-6.91225,-1.27117,1,3879.5,0.0764462,3986,0,1
97,-10.8708,-5.30943,-1.27117,1,4585,0.139492,41,0,3
98,2.83276,3.05495,-1.27117,1,4296.5,0.282574,3945,0,2
99,-10.0522,-6.61502,-1.27117,1,4800,0.163982,3948,0,3
100,5.18434,-8.43778,0.256834,1,5960.5,0.135437,7377,0,1
101,-9.89609,4.12578,0.256834,1,5961.5,0.116428,198,0,0
102,2.70476,3.21441,0.256834,1,4748,0.0873724,2558,0,2
