index,x0,x1,weight,rho,delta,nh,isSeed,clusterId
0,-54,-100.52,1,9.5,1.89973,695,0,-1
1,70.26,-84.94,1,12,10.8705,758,0,-1
2,135.22,-157.14,1,6.5,17.3066,119,0,-1
3,52.55,-198.6,1,7,7.41151,295,0,-1
4,-75.21,-84.32,1,11.5,3.95841,897,0,-1
5,205.08,25.73,1,5,3.82154,628,0,-1
6,43.15,-195.58,1,6.5,3.80295,219,0,-1
7,-206.11,-68.23,1,7,8.91388,326,0,-1
8,-94.91,59.77,1,12,0.0921965,457,0,-1
9,-117.28,-180.47,1,6.5,10.8151,456,0,-1
10,-168.69,124.59,1,5.5,4.60288,593,0,-1
11,-106.08,-20.65,1,13,9.37634,431,0,-1
12,-102.66,-182.94,1,6.5,6.11864,29,0,-1
13,-185.91,-156.45,1,1,24.4327,209,0,-1
14,159.65,-122.73,1,6.5,13.2989,989,0,-1
15,11.7,-107.97,1,11.5,1.98041,133,0,-1
16,80.39,61.95,1,10.5,2.45051,974,0,-1
17,105.97,157.42,1,2.5,8.99005,340,0,-1
18,102.61,15.53,1,11,1.74416,775,0,-1
19,52.17,-80.68,1,11.5,5.19648,336,0,-1
20,-125.65,-145.95,1,3,13.6101,918,0,-1
21,116.48,178.13,1,6.5,3.2352,899,0,-1
22,93.08,-28.97,1,14,4.27162,192,0,-1
23,-195,-86.37,1,6,4.84928,71,0,-1
24,22.5,-99.26,1,10,4.96146,615,0,-1
25,209.39,-55.23,1,6,9.87688,309,0,-1
26,61.08,61.86,1,9,7.68737,103,0,-1
27,113.26,-181.8,1,6.5,3.57951,53,0,-1
28,22.83,-207.88,1,7,3.42107,608,0,-1
29,-98.22,-178.73,1,6.5,3.31059,698,0,-1
30,-87.02,192.01,1,5,1.38322,672,0,-1
31,-56.91,-74.86,1,7.5,2.90548,350,0,-1
32,-204.91,-16.13,1,7.5,1.57137,314,0,-1
33,-101.74,21.6,1,12,1.58114,334,0,-1
34,55.35,101.46,1,7.5,9.82238,41,0,-1
35,194.95,-23.84,1,5,8.97111,302,0,-1
36,-160.51,135.83,1,7.5,4.54222,521,0,-1
37,-109.67,34.42,1,10,6.28172,743,0,-1
38,-88.62,54.93,1,13,15.4208,639,0,-1
39,37.6,-201.94,1,7,4.8086,219,0,-1
40,-122.05,-167.79,1,7.5,7.46053,456,0,-1
41,51.83,92.29,1,11.5,7.83955,68,0,-1
42,5.04,112.9,1,11,4.19115,278,0,-1
43,-141.97,-143.9,1,5.5,6.04834,95,0,-1
44,41.51,-194.18,1,5.5,2.1563,6,0,-1
45,-204.31,-85.42,1,6,3.01054,790,0,-1
46,-139.41,142.72,1,5,6.23356,284,0,-1
47,-207.7,-101.89,1,4,12.2637,938,0,-1
48,-37.58,88.78,1,9.5,6.73986,202,0,-1
49,-173.83,-49.06,1,2,9.52168,916,0,-1
