index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,-18.12,98.47,-22.72,1,2,13.9791,667,0,1
1,57.24,9.36,-105.42,1,4,41.1471,324,0,1
2,37.87,48.46,54.68,1,2.5,13.3991,18,0,1
3,-74.61,-97.53,20.9,1,1.5,13.4211,161,0,1
4,-34.49,10.62,34.29,1,5.5,10.0096,85,0,0
5,25.59,40.5,-126.48,1,1,24.5955,376,0,1
6,47.38,-77.7,96.22,1,1.5,10.8568,644,0,1
7,-35.37,-34.32,-16.44,1,2.5,12.4313,690,0,1
8,-3.51,1.43,14.57,1,4.5,11.3628,353,0,1
9,-37.86,9.95,11.08,1,3.5,3.14902,86,0,1
10,50.33,-63,-14.96,1,2.5,11.0151,409,0,1
11,-5.72,14.06,-137.7,1,2.5,8.85376,492,0,1
12,18.53,38.08,74.77,1,3.5,13.8568,129,0,0
13,-24.55,-92.45,28.35,1,3,12.0538,37,0,1
14,-40.86,-9.99,90.61,1,1,23.3166,693,0,0
15,43.73,27.84,-17.73,1,4,16.4258,760,0,1
16,-2.65,8.79,120.82,1,2,8.93664,609,0,1
17,-67.94,-57.3,61.01,1,3,10.9124,768,0,1
18,31.49,37.01,51.9,1,8,15.8844,267,0,1
19,-15.96,-47.88,-0.68,1,6,17.3775,445,0,1
20,13.77,56.57,81.49,1,3,10.4929,738,0,0
21,2.81,-39.86,34.74,1,5,7.33236,733,0,1
22,124.08,-14.44,36.37,1,1,32.3563,298,0,1
23,-89.36,33.83,-19.07,1,2,16.4646,58,0,0
24,-51.3,-2.27,33.64,1,2.5,13.2862,156,0,0
25,4.09,66.38,50.45,1,4.5,14.807,157,0,0
26,-55.78,-54.4,-40.59,1,3,12.2174,443,0,1
27,-55.98,-86.75,-75.57,1,2.5,8.85174,50,0,1
28,-4.16,34.19,-0.3,1,4.5,16.2172,123,0,0
29,-4.27,-35.05,-69.53,1,3,5.42252,31,0,1
30,-20.47,-35.57,96.96,1,2.5,9.40964,622,0,1
31,-3.98,-36.11,-74.84,1,3,16.154,919,0,1
32,13.72,117.09,7.53,1,1,21.9085,207,0,0
33,-51.98,44.75,6.76,1,4.5,10.5694,638,0,0
34,-37.62,-14.04,-106.52,1,2,5.0101,108,0,1
35,9.82,-71.15,-34.17,1,1.5,9.44249,614,0,1
36,-65.34,-93.34,100.58,1,2,16.1856,332,0,1
37,-20.81,-83.44,21.27,1,3.5,9.23615,911,0,1
38,-65.86,45.45,-10.21,1,4,16.2449,968,0,0
39,22.54,2.99,-66.33,1,1.5,16.0572,602,0,1
40,4.25,-102.62,-43.64,1,2.5,39.9096,143,0,1
41,89.67,-2.31,84.87,1,1,21.9207,745,0,1
42,2.65,54.5,129.76,1,1.5,19.8622,557,0,1
43,4.77,-64.07,4.56,1,2.5,8.0475,780,0,1
44,-69.79,41.15,-14.43,1,3.5,7.19328,38,0,0
45,-8.38,83.4,25.61,1,1,20.8614,620,0,0
46,20.61,-19.58,-270.35,1,1,30.2851,556,0,1
47,91.66,-32.25,127.66,1,2.5,17.803,549,0,1
48,10.9,-6.57,54.91,1,3,13.7005,631,0,1
49,44.7,-11.45,-4.83,1,4,13.2897,623,0,1
50,-59.48,-78.62,-75.65,1,3,4.8349,899,0,1
