index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,1.00808,-0.0359208,0.114483,1,64817,0.0203102,5850,0,1
1,1.0445,0.00274973,0.114483,1,64918.5,0.0204199,2700,0,1
2,1.10469,0.151684,0.114483,1,65712.5,0.0485385,11553,0,1
3,0.979174,0.0899055,0.114483,1,66436,0.0158879,902,0,1
4,1.02887,0.209725,0.114483,1,67047.5,0.0291749,3904,0,1
5,0.94466,0.243213,0.114483,1,68054.5,0.0111268,2706,0,1
6,0.987356,0.289105,0.114483,1,67966,0.00953274,1958,0,1
7,0.986503,0.279428,0.114483,1,67921.5,0.0046386,2406,0,1
8,0.937545,0.320221,0.114483,1,68687.5,0.0283389,5708,0,1
9,0.952406,0.370592,0.114483,1,68917,0.0167059,5558,0,1
10,0.862873,0.382966,0.114483,1,69722.5,0.0388145,3760,0,1
11,0.877038,0.486789,0.114483,1,70260,0.0252708,11713,0,1
12,0.867555,0.480991,0.114483,1,70206.5,0.00330877,6912,0,1
13,0.85855,0.483528,0.114483,1,70170.5,0.00935488,12,0,1
14,0.807639,0.539783,0.114483,1,64361,0.00975174,6913,0,1
15,0.784161,0.609971,0.114483,1,54352.5,0.00608207,2716,0,1
16,0.763414,0.658457,0.114483,1,49941.5,0.0173229,2718,0,1
17,0.741987,0.648817,0.114483,1,50215,0.0234813,6917,0,1
18,0.709153,0.667163,0.114483,1,49154,0.0204658,917,0,1
19,0.704657,0.690607,0.114483,1,48044,0.00499126,6918,0,1
20,0.658683,0.761741,0.114483,1,44405,0.0279171,920,0,1
21,0.626922,0.751075,0.114483,1,45157,0.0174632,6921,0,1
22,0.532955,0.844927,0.114483,1,42553.5,0.00759353,6923,0,1
23,0.592783,0.788073,0.114483,1,44568,0.0240798,3922,0,1
24,0.548656,0.857832,0.114483,1,41957.5,0.020324,22,0,1
25,0.445984,0.875453,0.114483,1,43084.5,0.00726331,27,0,1
26,0.439957,0.940953,0.114483,1,40213,0.028136,11728,0,0
27,0.443453,0.868645,0.114483,1,43323.5,0.0069715,5878,0,1
28,0.318594,0.930983,0.114483,1,42555.5,0.00519958,2730,0,0
29,0.370162,0.956839,0.114483,1,41067.5,0.00800679,3778,0,0
30,0.316011,0.976872,0.114483,1,41224.5,0.0105707,3780,0,0
31,0.243906,1.00482,0.114483,1,39177.5,0.0242373,11731,0,0
32,0.206647,0.967569,0.114483,1,42212,0.00630368,6934,0,0
33,0.182654,1.00829,0.114483,1,39310.5,0.016487,2734,0,0
34,0.149441,0.931623,0.114483,1,43590.5,0.0348277,7682,0,0
35,0.1031,1.02557,0.114483,1,38843,0.0257972,13535,0,0
36,0.00951402,1.00953,0.114483,1,39260.5,0.00409714,3787,0,0
37,0.0225569,1.01332,0.114483,1,39223.5,0.00921327,3785,0,0
38,-0.0774732,1.01419,0.114483,1,38833.5,0.0184235,5888,0,0
39,-0.095065,1.01414,0.114483,1,38768.5,0.0175919,38,0,0
40,-0.128584,1.05303,0.114483,1,37267,0.0291959,14291,0,0
41,-0.212054,1.00939,0.114483,1,37918,0.0212058,11742,0,0
42,-0.236582,0.959749,0.114483,1,40675,0.0116423,2443,0,0
43,-0.290247,0.961569,0.114483,1,40078.5,0.0262029,11593,0,0
44,-0.321599,0.95441,0.114483,1,39691,0.0109547,6945,0,0
45,-0.326539,0.888785,0.114483,1,42132,0.0180758,6944,0,0
46,-0.356089,0.881158,0.114483,1,41565.5,0.0237366,5596,0,0
47,-0.411482,0.926419,0.114483,1,38360,0.0161985,2445,0,0
48,-0.464215,0.88704,0.114483,1,38753.5,0.00429839,2449,0,0
49,-0.477565,0.858794,0.114483,1,38863.5,0.0149396,5898,0,0
50,-0.520316,0.853858,0.114483,1,37878.5,0.012135,6950,0,0
51,-0.505666,0.833434,0.114483,1,38556.5,0.0129658,6951,0,0
