index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,1.00808,-0.0359208,0.114483,1,85286.5,0.0203102,5850,0,0
1,1.0445,0.00274973,0.114483,1,82406.5,0.0204199,2700,0,0
2,1.10469,0.151684,0.114483,1,80380,0.0485385,11553,0,0
3,0.979174,0.0899055,0.114483,1,88290.5,0.0158879,902,0,0
4,1.02887,0.209725,0.114483,1,85135,0.0291749,3904,0,0
5,0.94466,0.243213,0.114483,1,89146.5,0.0111268,2706,0,0
6,0.987356,0.289105,0.114483,1,87561,0.00916435,2406,0,0
7,0.986503,0.279428,0.114483,1,87647.5,0.0114208,2707,0,0
8,0.937545,0.320221,0.114483,1,89123.5,0.0291258,6909,0,0
9,0.952406,0.370592,0.114483,1,88593.5,0.0167059,5558,0,0
10,0.862873,0.382966,0.114483,1,89435.5,0.0472149,5409,0,0
11,0.877038,0.486789,0.114483,1,89383,0.0111158,12,0,0
12,0.867555,0.480991,0.114483,1,89428,0.00330877,6912,0,0
13,0.85855,0.483528,0.114483,1,89435,0.0234322,3761,0,0
14,0.807639,0.539783,0.114483,1,89434.5,0.00975174,6913,0,0
15,0.784161,0.609971,0.114483,1,89434,0.00608207,2716,0,0
16,0.763414,0.658457,0.114483,1,89434,0.0173229,2718,0,0
17,0.741987,0.648817,0.114483,1,89434,0.00922545,2718,0,0
18,0.709153,0.667163,0.114483,1,89434,0.0164141,2418,0,0
19,0.704657,0.690607,0.114483,1,89434,0.00492896,3769,0,0
20,0.658683,0.761741,0.114483,1,89433.5,0.013214,2721,0,0
21,0.626922,0.751075,0.114483,1,89433.5,0.0101707,11720,0,0
22,0.532955,0.844927,0.114483,1,89433,0.00759353,6923,0,0
23,0.592783,0.788073,0.114483,1,89433.5,0.010983,3771,0,0
24,0.548656,0.857832,0.114483,1,89433,0.0206527,923,0,0
25,0.445984,0.875453,0.114483,1,89433,0.00726331,27,0,0
26,0.439957,0.940953,0.114483,1,89432.5,0.0113689,1977,0,0
27,0.443453,0.868645,0.114483,1,89433,0.00667892,1976,0,0
28,0.318594,0.930983,0.114483,1,89432.5,0.00519958,2730,0,0
29,0.370162,0.956839,0.114483,1,89432.5,0.00800679,3778,0,0
30,0.316011,0.976872,0.114483,1,89432.5,0.0105707,3780,0,0
31,0.243906,1.00482,0.114483,1,89416,0.0242373,11731,0,0
32,0.206647,0.967569,0.114483,1,89353,0.00630368,6934,0,0
33,0.182654,1.00829,0.114483,1,88225.5,0.0190393,11735,0,0
34,0.149441,0.931623,0.114483,1,88638.5,0.0270339,5733,0,0
35,0.1031,1.02557,0.114483,1,76997.5,0.0257972,13535,0,0
36,0.00951402,1.00953,0.114483,1,71405.5,0.00485993,3785,0,0
37,0.0225569,1.01332,0.114483,1,71719.5,0.0134643,2435,0,0
38,-0.0774732,1.01419,0.114483,1,69109.5,0.0184235,5888,0,0
39,-0.095065,1.01414,0.114483,1,68767.5,0.0175919,38,0,0
40,-0.128584,1.05303,0.114483,1,67417.5,0.0291959,14291,0,0
41,-0.212054,1.00939,0.114483,1,67037.5,0.0212058,11742,0,0
42,-0.236582,0.959749,0.114483,1,67398,0.029654,4543,0,0
43,-0.290247,0.961569,0.114483,1,66752.5,0.0131078,2744,0,0
44,-0.321599,0.95441,0.114483,1,66430.5,0.0109547,6945,0,0
45,-0.326539,0.888785,0.114483,1,67189,0.0180758,6944,0,0
46,-0.356089,0.881158,0.114483,1,66900,0.0237366,5596,0,0
47,-0.411482,0.926419,0.114483,1,65543.5,0.0161985,2445,0,0
48,-0.464215,0.88704,0.114483,1,65367,0.0137032,5899,0,0
49,-0.477565,0.858794,0.114483,1,65537,0.0149396,5898,0,0
50,-0.520316,0.853858,0.114483,1,65090.5,0.012135,6950,0,0
51,-0.505666,0.833434,0.114483,1,65485,0.0129658,6951,0,0
52,-0.612726,0.814756,0.114483,1,64420,0.0263516,3802,0,0
53,-0.630591,0.781125,0.114483,1,64528,0.00876176,2003,0,0
54,-0.656943,0.70275,0.114483,1,64973.5,0.0169058,5605,0,0
55,-0.672485,0.725825,0.114483,1,64562,0.0082545,3805,0,0
56,-0.714645,0.701709,0.114483,1,64288,0.0228769,6956,0,0
57,-0.758287,0.63088,0.114483,1,64373,0.00840558,6958,0,0
58,-0.815053,0.614515,0.114483,1,63875,0.0132004,960,0,0
59,-0.81106,0.579708,0.114483,1,64136,0.0123902,2459,0,0
60,-0.830575,0.536512,0.114483,1,64192,0.0194494,2012,0,0
61,-0.855569,0.480961,0.114483,1,64319,0.0129145,3812,0,0
62,-0.848469,0.520658,0.114483,1,64116,0.0199401,2012,0,0
63,-0.851898,0.465958,0.114483,1,64469.5,0.0172333,3812,0,0
64,-0.927117,0.358654,0.114483,1,64016.5,0.0168115,5615,0,0
65,-0.908614,0.395654,0.114483,1,64102,0.0199126,2015,0,0
66,-0.921932,0.396848,0.114483,1,63879,0.0122398,2013,0,0
67,-0.901799,0.280871,0.114483,1,64916.5,0.0368391,5618,0,0
68,-1.01321,0.275708,0.114483,1,60117,0.0223027,5619,0,0
69,-0.950284,0.153963,0.114483,1,64756,0.0299701,6972,0,0
70,-1.05649,0.186962,0.114483,1,57118.5,0.0387153,7720,0,0
71,-1.0112,0.127045,0.114483,1,61038,0.00754134,2471,0,0
72,-1.00891,0.113171,0.114483,1,61272.5,0.00469414,5921,0,0
73,-1.01089,-0.0343904,0.114483,1,60418,0.0351565,5474,0,0
74,-1.0143,0.0221788,0.114483,1,60561,0.0113773,2773,0,0
75,0.0584476,0.522107,0.114483,1,89227,0.0237552,975,0,0
76,-0.0392753,0.461158,0.114483,1,83270,0.00659098,2476,0,0
77,0.0242881,0.45008,0.114483,1,88433,0.0159036,11776,0,0
78,-0.00706858,0.383595,0.114483,1,86579,0.0229676,6977,0,0
79,-0.0119599,0.361093,0.114483,1,86221,0.0115871,5929,0,0
80,0.0616641,0.240625,0.114483,1,89220,0.00745524,2030,0,0
81,0.0245085,0.243283,0.114483,1,88274.5,0.0133462,980,0,0
82,0.049058,0.247025,0.114483,1,89029,0.014138,80,0,0
83,0.0881531,0.207921,0.114483,1,89396,0.0254568,2783,0,0
84,0.129329,0.105025,0.114483,1,89433,0.0136967,11785,0,0
85,0.0760217,0.119345,0.114483,1,89178.5,0.0129793,2036,0,0
86,0.119954,0.0631203,0.114483,1,89397,0.0137716,987,0,0
87,0.133855,-0.0337218,0.114483,1,89383,0.0225712,11637,0,0
88,0.204635,-0.0092065,0.114483,1,89437.5,0.0420593,5489,0,0
