index,x0,x1,x2,weight,rho,delta,nh,isSeed,clusterId
0,0.977076,-0.00828332,-0.0407987,1,50263.5,0.0177543,9468,0,1
1,1.72425,-0.179732,-0.0407987,1,50263,0.0130091,5757,0,1
2,0.0131903,0.971492,-0.0407987,1,50263.5,0.00562381,5791,0,0
3,0.229659,-0.0550534,-0.0407987,1,50263.5,0.0100785,2035,0,0
4,-0.568838,0.92159,-0.0407987,1,50263.5,0.016178,9973,0,0
5,1.01193,0.0701134,-0.0407987,1,50264,0.015206,1226,0,1
6,-0.0959967,1.02532,-0.0407987,1,50263,0.0173894,1208,0,0
7,1.96646,0.328607,-0.0407987,1,49494,0.00683831,3895,0,1
8,0.987193,0.197802,-0.0407987,1,50264.5,0.0143052,5154,0,1
9,1.41087,-0.419674,-0.0407987,1,50262,0.0137544,9692,0,1
10,-0.377316,0.912445,-0.0407987,1,50263.5,0.0195985,9968,0,0
11,2.03071,0.450723,-0.0407987,1,47730.5,0.0163419,2997,0,1
12,-1.02451,0.265223,-0.0407987,1,48001,0.0199446,1060,0,0
13,0.215479,-0.133504,-0.0407987,1,50263.5,0.0337611,5775,0,0
14,0.455522,0.918786,-0.0407987,1,50263.5,0.0153013,1248,0,1
15,0.975676,0.311895,-0.0407987,1,50265,0.024651,3526,0,1
16,0.434152,0.741205,-0.0407987,1,50264.5,0.0632319,3486,0,1
17,-0.85406,0.471403,-0.0407987,1,50260,0.0335573,6503,0,0
18,0.072171,1.00917,-0.0407987,1,50263.5,0.020768,3524,0,0
19,1.14038,-0.536752,-0.0407987,1,50261.5,0.0127067,3555,0,1
20,-0.935563,0.39294,-0.0407987,1,50046.5,0.00577605,2417,0,0
21,-0.108503,0.959748,-0.0407987,1,50263.5,0.00872032,2471,0,0
22,0.412466,0.930099,-0.0407987,1,50263.5,0.0195397,776,0,1
23,1.23332,-0.453467,-0.0407987,1,50262,0.0195645,92,0,1
24,1.57028,-0.349847,-0.0407987,1,50262.5,0.00807683,3840,0,1
25,-0.248252,0.92661,-0.0407987,1,50263.5,0.0307557,873,0,0
26,0.787624,-0.443524,-0.0407987,1,50262,0.0178072,9494,0,1
27,1.78651,-0.114836,-0.0407987,1,50263.5,0.00680394,1267,0,1
28,-0.835035,0.442922,-0.0407987,1,50265.5,0.0270339,1278,0,0
29,-0.871442,0.684483,-0.0407987,1,50234,0.0394921,829,0,0
30,0.749134,0.484393,-0.0407987,1,50265.5,0.043757,8638,0,1
31,1.81537,-0.200058,-0.0407987,1,50263,0.0180375,3513,0,1
32,1.04591,-0.45609,-0.0407987,1,50262,0.00597905,2017,0,1
33,0.192,0.965846,-0.0407987,1,50263.5,0.015035,9478,0,0
34,0.235315,-0.248132,-0.0407987,1,50263,0.0171188,1206,0,0
35,-0.0951708,0.243414,-0.0407987,1,50264.5,0.0376929,1260,0,0
36,0.466081,-0.277492,-0.0407987,1,50262.5,0.0080931,9493,0,0
37,0.0317483,0.158092,-0.0407987,1,50264.5,0.0205141,5111,0,0
38,1.96067,0.310701,-0.0407987,1,49673.5,0.0115645,1240,0,1
39,0.709714,0.579272,-0.0407987,1,50265,0.0107562,2919,0,1
40,1.01969,0.151976,-0.0407987,1,50264.5,0.0271017,9952,0,1
41,-0.814075,0.58349,-0.0407987,1,50265,0.00612307,5768,0,0
42,2.00382,0.113757,-0.0407987,1,48673.5,0.0238205,2013,0,1
43,0.55431,-0.422998,-0.0407987,1,50262,0.0171552,9641,0,0
44,0.0241544,0.221868,-0.0407987,1,50264.5,0.0160734,9680,0,0
45,0.920184,-0.52045,-0.0407987,1,50261.5,0.0127065,9995,0,1
46,0.0755621,0.428079,-0.0407987,1,50265.5,0.0174316,88,0,0
47,0.212328,1.05043,-0.0407987,1,50263,0.00828864,5743,0,0
48,0.785113,0.679774,-0.0407987,1,50264.5,0.00319705,2079,0,1
49,-0.857523,0.250547,-0.0407987,1,50252.5,0.0247188,893,0,0
50,-0.737754,0.728396,-0.0407987,1,50264.5,0.0135727,2998,0,0
51,0.671452,0.828801,-0.0407987,1,50264,0.0143757,2986,0,1
52,1.97279,0.37278,-0.0407987,1,49300.5,0.0305469,2419,0,1
53,1.30427,-0.458619,-0.0407987,1,50262,0.0176123,1217,0,1
54,0.625747,-0.438651,-0.0407987,1,50262,0.015759,5722,0,1
55,0.159693,-0.200843,-0.0407987,1,50263,0.0381646,7995,0,0
56,0.833485,0.510026,-0.0407987,1,50265,0.0143114,5015,0,1
57,1.92646,0.139833,-0.0407987,1,50055.5,0.0274254,2360,0,1
58,-0.942061,0.113955,-0.0407987,1,49843,0.00705651,96,0,0
59,-0.0117386,0.905888,-0.0407987,1,50263.5,0.013633,9953,0,0
60,-0.702992,0.640427,-0.0407987,1,50264.5,0.0203697,9622,0,0
61,0.913519,-0.452164,-0.0407987,1,50262,0.0174844,9415,0,1
62,-0.484291,0.76992,-0.0407987,1,50264,0.0114372,9477,0,0
63,1.01352,-0.481523,-0.0407987,1,50262,0.0085694,9943,0,1
64,0.472111,-0.326669,-0.0407987,1,50262.5,0.0125102,9648,0,0
65,-0.553183,0.901431,-0.0407987,1,50263.5,0.00987968,2462,0,0
66,0.153899,0.0788256,-0.0407987,1,50264,0.0105678,2988,0,0
67,-0.8959,0.495456,-0.0407987,1,50223.5,0.00926233,9629,0,0
68,0.29118,-0.229153,-0.0407987,1,50263,0.00929084,2038,0,0
69,1.93893,0.0686123,-0.0407987,1,49976,0.00798848,3599,0,1
70,1.00499,0.358941,-0.0407987,1,50265,0.0202984,9983,0,1
71,-0.947481,0.216905,-0.0407987,1,49848,0.0200905,3538,0,0
72,1.4172,-0.383473,-0.0407987,1,50262.5,0.0142152,3532,0,1
73,1.05191,-0.472997,-0.0407987,1,50262,0.00155288,5707,0,1
74,1.55395,-0.257268,-0.0407987,1,50263,0.0217524,1263,0,1
75,0.450567,-0.334281,-0.0407987,1,50262.5,0.0121294,2946,0,0
76,-1.00676,-0.0695388,-0.0407987,1,47920,0.0211419,3899,0,0
77,1.98157,0.405709,-0.0407987,1,49055.5,0.0103463,3564,0,1
78,-0.0725747,0.345887,-0.0407987,1,50265,0.0157915,9427,0,0
79,1.75221,-0.183198,-0.0407987,1,50263,0.0214123,6584,0,1
80,0.816861,0.439107,-0.0407987,1,50265.5,0.0214556,6575,0,1
81,0.410073,-0.297985,-0.0407987,1,50262.5,0.0147502,3853,0,0
82,0.326924,1.00061,-0.0407987,1,50263.5,0.00928767,5140,0,1
83,0.384036,0.864325,-0.0407987,1,50264,0.0169564,2498,0,1
84,0.85942,-0.459085,-0.0407987,1,50262,0.0226324,2054,0,1
85,-0.610156,0.736013,-0.0407987,1,50264.5,0.0172499,2060,0,0
86,1.89289,-0.130012,-0.0407987,1,50164.5,0.0078396,2090,0,1
87,-0.318065,0.974064,-0.0407987,1,50263.5,0.00869794,1214,0,0
88,0.0676652,0.44362,-0.0407987,1,50265.5,0.0140737,1201,0,0
89,-0.34094,0.971715,-0.0407987,1,50263.5,0.0121465,2041,0,0
90,1.51963,-0.429766,-0.0407987,1,50262,0.0225988,6501,0,1
91,1.02574,0.271396,-0.0407987,1,50265,0.0178207,1273,0,1
92,1.24577,-0.438375,-0.0407987,1,50262,0.0268751,9474,0,1
93,0.51843,0.794255,-0.0407987,1,50264,0.0190529,9900,0,1
94,0.77531,0.608887,-0.0407987,1,50265,0.0101025,2944,0,1
95,0.108631,0.194089,-0.0407987,1,50264.5,0.0198059,9436,0,0
96,-0.938533,0.107844,-0.0407987,1,49853.5,0.0444558,6457,0,0
97,1.80593,0.0414834,-0.0407987,1,50264,0.0415408,8868,0,1
98,0.107763,0.0458059,-0.0407987,1,50264,0.0261283,2924,0,0
99,0.716938,0.790597,-0.0407987,1,50264,0.0149062,9429,0,1
100,1.81962,-0.139451,0.0237085,1,50264,0.0129669,9597,0,1
101,-0.374602,0.896043,0.0237085,1,50262.5,0.0176249,9581,0,0
102,1.37901,-0.512656,0.0237085,1,50263,0.0340097,6702,0,1
103,-0.747767,0.585182,0.0237085,1,50264,0.0265329,8716,0,0
104,0.941725,0.4799,0.0237085,1,50264.5,0.0121281,5546,0,1
105,0.653539,0.760317,0.0237085,1,50263,0.0223149,6638,0,1
106,1.97645,0.466834,0.0237085,1,49029.5,0.0180936,1869,0,1
107,-0.161366,0.970078,0.0237085,1,50262.5,0.0051546,7644,0,0
108,0.39126,-0.29033,0.0237085,1,50263.5,0.0400948,7343,0,0
109,1.84934,-0.0214297,0.0237085,1,50258,0.0324233,5272,0,1
110,0.95058,0.328952,0.0237085,1,50265,0.0144969,1398,0,1
111,0.583294,0.786039,0.0237085,1,50263,0.00430478,7340,0,1
112,1.01336,-0.499365,0.0237085,1,50263,0.0280197,5213,0,1
113,-0.567635,0.856414,0.0237085,1,50263,0.0159171,9269,0,0
114,0.751597,0.664904,0.0237085,1,50263.5,0.0134084,5513,0,1
115,1.02228,0.124865,0.0237085,1,50265.5,0.0212712,6669,0,1
116,0.00970691,0.513873,0.0237085,1,50264,0.00820043,7365,0,0
117,0.749254,-0.425669,0.0237085,1,50263,0.0054912,5517,0,1
118,0.91597,0.385144,0.0237085,1,50264.5,0.0185,2674,0,1
119,1.73565,-0.146001,0.0237085,1,50264,0.0170799,7624,0,1
120,0.0403467,0.191876,0.0237085,1,50265.5,0.0164191,7325,0,0
121,0.750354,0.646152,0.0237085,1,50263.5,0.0241929,8704,0,1
122,-1.0531,0.0969169,0.0237085,1,47059,0.023784,166,0,0
123,-0.0103582,0.434131,0.0237085,1,50264.5,0.012064,8729,0,0
124,1.76284,-0.168989,0.0237085,1,50264,0.0155789,9569,0,1
125,0.624181,0.807204,0.0237085,1,50263,0.00675499,9208,0,1
126,-0.00985268,0.326953,0.0237085,1,50265,0.00851602,7693,0,0
127,0.638038,-0.380152,0.0237085,1,50263.5,0.0202754,7317,0,1
128,1.02371,0.0346729,0.0237085,1,50265,0.00895105,7676,0,1
129,1.97637,0.40769,0.0237085,1,49159,0.013662,8777,0,1
130,1.59073,-0.218285,0.0237085,1,50264,0.0372441,8396,0,1
131,-0.298979,0.927479,0.0237085,1,50262.5,0.0201893,5581,0,0
132,0.597653,-0.392527,0.0237085,1,50263,0.022465,7317,0,1
133,1.44012,-0.281397,0.0237085,1,50263.5,0.0224742,8314,0,1
134,0.471645,0.87635,0.0237085,1,50263,0.0297147,6400,0,1
135,-0.0527315,1.00345,0.0237085,1,50262.5,0.00722767,1820,0,0
136,0.220025,-0.127001,0.0237085,1,50264.5,0.0289186,9579,0,0
137,1.24623,-0.458887,0.0237085,1,50263,0.00556328,5548,0,1
138,0.408756,-0.20368,0.0237085,1,50264,0.00710651,1809,0,0
139,1.10291,-0.44295,0.0237085,1,50263,0.0259283,6635,0,1
140,0.828486,-0.519342,0.0237085,1,50262.5,0.0338172,6734,0,1
141,2.0328,0.448631,0.0237085,1,47677,0.0211429,7321,0,1
142,0.993098,0.119145,0.0237085,1,50265,0.0190343,9582,0,1
143,0.0424936,0.928977,0.0237085,1,50262.5,0.0132778,9527,0,0
144,-0.917977,0.592668,0.0237085,1,50105.5,0.0163946,5522,0,0
