index,x0,x1,weight,rho,delta,nh,isSeed,clusterId
0,-176.22,116.93,1,13.5,1.52454,83,0,-1
1,218.17,52.38,1,8,4.51656,194,0,-1
2,-89.5,177.68,1,10,4.07624,758,0,-1
3,17.69,159.11,1,10.5,7.3433,785,0,-1
4,32.57,126.57,1,11.5,5.06285,337,0,-1
5,-134.56,171.5,1,13,5.29069,834,0,-1
6,64.59,22.42,1,13.5,999,-1,0,-1
7,203.91,-62.06,1,12.5,2.20002,655,0,-1
8,215.74,16.84,1,11,1.12178,520,0,-1
9,-30.16,-89.78,1,8.5,3.38362,20,0,-1
10,38.38,-212.71,1,13.5,10.8315,821,0,-1
11,-151.16,176.78,1,6.5,10.1297,543,0,-1
12,-14.27,-136.73,1,11,0.0943415,513,0,-1
13,-205.44,33.31,1,11,0.480416,802,0,-1
14,64.77,-9.28,1,11,3.87073,479,0,-1
15,-43.03,-99.43,1,14.5,999,-1,0,-1
16,125.36,-195.01,1,14.5,4.79971,602,0,-1
17,73.39,-207.4,1,18.5,2.38517,556,0,-1
18,13.5,-179.57,1,15,1.32967,441,0,-1
19,44.79,99.35,1,9.5,4.52881,566,0,-1
20,-33.49,-90.38,1,10,6.33622,507,0,-1
21,12.62,-180.7,1,14.5,1.43223,18,0,-1
22,216.74,-76.29,1,6.5,4.60484,760,0,-1
23,206.94,-49.17,1,13.5,0.460438,60,0,-1
24,54.14,78.13,1,13.5,999,-1,0,-1
25,-105.74,209.91,1,7.5,9.77382,784,0,-1
26,-25.96,-108.45,1,11,3.03727,752,0,-1
27,21.5,-182.47,1,12,6.41788,140,0,-1
28,30.5,99.86,1,9.5,3.42537,37,0,-1
29,-25.16,170.42,1,10,5.42826,431,0,-1
30,-9.25,-134.59,1,11,5.38001,513,0,-1
31,-198.58,38.93,1,10,8.86814,13,0,-1
32,13.11,108.46,1,6,8.74287,558,0,-1
33,42.71,-223.09,1,8.5,5.18645,115,0,-1
34,28.28,108.22,1,11.5,8.63022,64,0,-1
35,-73.75,57.1,1,6,2.24742,690,0,-1
36,178.99,-132.23,1,13.5,13.5156,776,0,-1
37,31.26,103.2,1,10.5,5.83788,34,0,-1
38,-222.26,-41.87,1,7,5.8222,842,0,-1
39,-199.13,-0.72,1,11.5,8.67873,782,0,-1
40,25.91,-188.77,1,14,2.10447,140,0,-1
41,176.88,-114.17,1,13,6.85291,531,0,-1
42,-35.07,174.15,1,9,2.37742,330,0,-1
43,167.95,-147.28,1,10.5,7.6257,633,0,-1
44,37.22,-199.6,1,13,4.12603,821,0,-1
45,170.44,-147.72,1,9.5,2.52858,43,0,-1
46,87.05,-197.15,1,15.5,5.18257,826,0,-1
47,212.87,-24.58,1,9,4.75926,165,0,-1
48,193.73,-132.47,1,9.5,1.66388,408,0,-1
49,-19.29,-144.43,1,12,3.75527,79,0,-1
50,-67.26,68.37,1,5,6.5204,892,0,-1
51,37.35,-203.51,1,12.5,3.46439,821,0,-1
52,56.15,110.03,1,4,12.7253,323,0,-1
53,-219.13,-49.93,1,7.5,4.6646,842,0,-1
54,195.44,-107.29,1,11.5,5.34309,144,0,-1
55,-81.46,213.23,1,10.5,9.2967,129,0,-1
56,-167.99,151.89,1,6.5,4.47676,853,0,-1
57,-14.35,148.48,1,6.5,12.53,669,0,-1
58,-220.03,-63.37,1,7,1.59,502,0,-1
59,195.42,-88.8,1,11,4.08074,375,0,-1
60,206.68,-48.79,1,13.5,4.33817,405,0,-1
61,76.3,-8.12,1,11.5,6.44175,635,0,-1
62,-22.21,187.16,1,12,14.4753,474,0,-1
63,-123.54,230,1,1.5,14.7991,533,0,-1
64,28.7,116.84,1,13.5,3.77271,180,0,-1
65,-169.69,120.9,1,13,2.28232,812,0,-1
66,-99.54,192.2,1,16,7.99436,521,0,-1
67,-210.38,31.95,1,12,10.3687,391,0,-1
68,-198.3,105.99,1,6.5,5.26447,654,0,-1
69,-104.01,161.21,1,5,4.92165,396,0,-1
70,-54.77,-65.28,1,13,4.4396,270,0,-1
71,201.04,-109.31,1,7.5,3.00641,483,0,-1
72,56.43,-225.16,1,9,9.47006,716,0,-1
73,-52.6,204.64,1,14.5,4.95552,209,0,-1
74,-92.18,197.11,1,16.5,999,-1,0,-1
75,191.32,-99.99,1,10,4.96037,158,0,-1
76,-130.75,176.56,1,10.5,4.99925,756,0,-1
77,-165.08,113.21,1,12.5,5.73064,497,0,-1
78,-21.32,-149.51,1,11.5,5.47059,49,0,-1
79,-16.68,-141.73,1,12.5,2.44699,631,0,-1
80,-190.73,77.06,1,13,1.86682,823,0,-1
81,-72.77,17.04,1,12,6.25544,268,0,-1
82,36.78,70.89,1,8.5,6.94711,530,0,-1
83,-176.01,118.44,1,14.5,10.1987,104,0,-1
84,183.9,-81.23,1,8,2.46165,889,0,-1
85,34.94,-230,1,4,9.38344,609,0,-1
86,-201.27,53.32,1,9,2.25503,334,0,-1
87,185.92,-129.06,1,13,7.62061,36,0,-1
88,200.29,-89.03,1,11.5,13.0008,678,0,-1
89,-27.3,-101.33,1,10.5,1.81994,293,0,-1
90,20.17,-190.79,1,13.5,4.3441,140,0,-1
91,168.29,-126.23,1,10.5,4.37507,316,0,-1
92,79.46,5.38,1,9.5,3.34773,272,0,-1
93,86.54,-53.1,1,8,7.52088,586,0,-1
94,11.31,-166.06,1,13,8.64882,313,0,-1
95,4.78,-188.67,1,12,1.58091,713,0,-1
96,-76.58,40.61,1,9.5,8.03197,112,0,-1
97,5.61,-151.31,1,9.5,4.36811,725,0,-1
98,205.39,-50.79,1,13,2.24208,23,0,-1
99,164.33,-170.39,1,6,3.57347,599,0,-1
100,31.49,-196.06,1,13,7.93531,954,0,-1
101,-46.86,-85.88,1,10,13.7352,252,0,-1
102,67.78,-196.24,1,14.5,2.29436,379,0,-1
103,82.71,-197.03,1,15,0.976169,341,0,-1
104,-179.99,109.05,1,15,4.87986,475,0,-1
105,-77.71,31.61,1,8.5,1.15018,865,0,-1
106,-55.76,-45.27,1,13.5,2.47524,138,0,-1
107,-0.26,-171.84,1,14.5,1.0693,761,0,-1
108,171.76,-114.98,1,10.5,3.30389,929,0,-1
109,-53.07,-58.1,1,13,2.95447,270,0,-1
110,189.17,-122.02,1,14.5,4.02889,776,0,-1
111,82.13,-189.97,1,11,3.30409,845,0,-1
112,-73.23,33.31,1,9.5,4.48497,118,0,-1
113,-81.03,177.76,1,8,5.06203,169,0,-1
114,-50.33,3.8,1,4.5,12.6519,296,0,-1
115,47.03,-220.22,1,11,7.35949,852,0,-1
116,-49.28,198.83,1,14,3.82388,209,0,-1
117,-166.14,125.63,1,12,0.790569,419,0,-1
118,-73.93,28.88,1,10.5,5.82073,510,0,-1
119,201.86,-59.17,1,11.5,2.67884,251,0,-1
120,-176.67,95.98,1,11,3.02513,743,0,-1
121,-202.36,86.13,1,8.5,9.20091,810,0,-1
122,191.41,-82.69,1,10.5,5.95265,974,0,-1
123,133.47,-173.55,1,11.5,1.78766,652,0,-1
124,-38.56,-117.73,1,11.5,5.11641,506,0,-1
125,-80.74,192.3,1,15,8.12368,481,0,-1
126,67.54,-54.56,1,9,5.67567,704,0,-1
127,66.47,42.46,1,10,6.96735,709,0,-1
128,210.82,-1.5,1,9.5,1.56923,318,0,-1
129,-77.74,204.71,1,15,5.62855,481,0,-1
130,-147.28,128.52,1,8,9.32826,277,0,-1
131,62.42,-207.06,1,12.5,1.27015,344,0,-1
132,61.66,-216.01,1,9.5,1.61555,716,0,-1
133,8.62,147.04,1,14.5,7.19181,644,0,-1
134,69.46,-55.41,1,8.5,2.09974,126,0,-1
135,21.89,137.99,1,14,1.49656,822,0,-1
136,121.38,-189.6,1,13.5,6.5404,718,0,-1
137,208.64,7.21,1,8.5,3.92012,816,0,-1
138,-57.54,-46.99,1,14,6.42094,851,0,-1
139,136.97,-173.42,1,12,1.94486,207,0,-1
140,23.83,-188.45,1,14,13.6222,18,0,-1
141,100.02,-215.33,1,13,6.53154,282,0,-1
142,-190.03,58.75,1,7.5,6.19554,446,0,-1
143,66.09,4.78,1,12.5,1.57003,682,0,-1
144,190.51,-105.23,1,13.5,15.1866,531,0,-1
145,7.89,200.09,1,3,14.8355,358,0,-1
146,-39.82,-72.16,1,8,11.137,538,0,-1
147,68.62,-202.53,1,17,6.81687,17,0,-1
148,-59.45,-63.8,1,12.5,4.90844,70,0,-1
149,82.93,-216.05,1,13.5,2.01309,746,0,-1
150,56.75,21.2,1,11.5,2.40693,770,0,-1
151,10.87,-158.71,1,11,2.95989,486,0,-1
152,-216.42,-0.72,1,10.5,4.66512,377,0,-1
153,57.64,-208,1,13.5,6.58156,589,0,-1
154,-51.82,-46.87,1,10.5,1.03576,403,0,-1
155,-5.45,176.48,1,13.5,5.0754,305,0,-1
156,-50.85,183.67,1,12,1.02078,872,0,-1
157,26.22,-175.98,1,9.5,5.61136,830,0,-1
158,186.36,-99.93,1,11,6.73145,144,0,-1
159,9.14,143.09,1,14,3.98408,133,0,-1
160,78.51,9.72,1,10.5,3.06007,272,0,-1
161,180.93,-122.68,1,13,1.09417,545,0,-1
162,-108.82,196.18,1,12,1.36617,438,0,-1
163,-188.05,78.79,1,13.5,2.22767,430,0,-1
164,-65.08,-29.9,1,13,3.03567,278,0,-1
165,216.28,-21.26,1,9,3.64516,385,0,-1
166,-67.95,14,1,10.5,0.3891,189,0,-1
167,143.32,-171.55,1,11.5,3.35478,720,0,-1
168,-207.74,44.27,1,9.5,10.6029,31,0,-1
169,-80.24,182.76,1,10.5,7.81462,349,0,-1
170,28.5,146.51,1,12.5,5.36773,607,0,-1
171,-121.22,201.92,1,6,6.84445,771,0,-1
172,3.51,163.76,1,12,2.48128,328,0,-1
173,226.03,4.76,1,9.5,4.89124,381,0,-1
174,-152.97,149.04,1,12.5,4.45808,383,0,-1
175,210.63,-32.77,1,10.5,5.26637,707,0,-1
176,208.4,-70.12,1,10.5,4.90408,470,0,-1
177,-224.26,17.84,1,5.5,5.18347,603,0,-1
178,91.36,-205.69,1,16.5,7.13124,282,0,-1
179,-184.8,75.61,1,12.5,4.54697,163,0,-1
180,31.88,118.87,1,13.5,3.02394,337,0,-1
181,-207.25,-65.25,1,8,9.53715,783,0,-1
182,26.1,127.2,1,14,0.952685,636,0,-1
183,132.29,-212.58,1,8.5,6.00842,368,0,-1
184,36.76,-208.76,1,13,1.59841,482,0,-1
185,20.54,134.9,1,15,2.78217,961,0,-1
186,-26.04,188.44,1,11.5,4.03823,62,0,-1
187,170.48,-118.52,1,10.5,4.78236,863,0,-1
188,-6.71,-143.54,1,10.5,3.57664,241,0,-1
189,-67.6,13.83,1,11,1.79234,590,0,-1
190,-52.1,-102.84,1,8.5,3.88703,712,0,-1
191,137.23,-148.79,1,7.5,8.89647,354,0,-1
192,-45.38,-123.23,1,5.5,7.44265,378,0,-1
193,22.28,-206.24,1,11,2.36071,684,0,-1
194,221.69,49.55,1,8,1.42524,335,0,-1
195,-39.61,-116.97,1,11,1.29619,124,0,-1
196,43.49,-191.86,1,11,3.47969,629,0,-1
197,140.38,-184.24,1,13,8.4801,749,0,-1
198,-205.36,85.16,1,6.5,3.15292,121,0,-1
199,147.63,-181.96,1,10.5,3.21176,300,0,-1
200,147.71,-154.25,1,10,3.7,487,0,-1
201,-21.28,162.84,1,10.5,4.49245,437,0,-1
202,45.77,90.79,1,11.5,10.8047,581,0,-1
203,113.29,-191.8,1,12.5,0.470114,220,0,-1
204,74.3,-53.06,1,9.5,1.25284,704,0,-1
205,124.68,-161.46,1,6,1.41824,734,0,-1
206,-205.6,-35.25,1,7,10.9088,364,0,-1
207,137.28,-175.34,1,12,5.97014,652,0,-1
208,152.33,-154.14,1,11.5,0.671857,356,0,-1
209,-48.14,202.48,1,14.5,7.08842,670,0,-1
210,49.96,65.23,1,13,7.31416,894,0,-1
211,-81.84,31.74,1,8,4.13204,105,0,-1
212,-33.72,191.3,1,11.5,5.39233,301,0,-1
213,196.86,-54.93,1,11.5,3.99912,251,0,-1
214,-12.06,164.6,1,13,5.20623,397,0,-1
215,67.27,32.86,1,10,2.86775,709,0,-1
216,-166.31,132.12,1,13.5,2.08677,498,0,-1
217,-205.57,5.67,1,11.5,11.9455,377,0,-1
218,197.84,-51.15,1,11,2.37394,687,0,-1
219,53.16,-183.53,1,7.5,5.31677,231,0,-1
220,112.92,-191.51,1,12.5,3.91863,407,0,-1
221,8.54,172.74,1,11,5.77209,668,0,-1
222,-38.16,209.34,1,9.5,5.5771,291,0,-1
223,77.91,-34.04,1,8.5,3.43286,352,0,-1
224,-196.31,6.1,1,8.5,7.38003,39,0,-1
225,-5.54,-167.29,1,14.5,5.43018,591,0,-1
226,-69.73,182.85,1,9.5,4.65136,881,0,-1
227,-184.24,95.4,1,14,2.86943,694,0,-1
228,-118.17,169.91,1,12.5,4.24445,429,0,-1
229,-191.17,92.98,1,14,3.93155,810,0,-1
230,-37.52,199.08,1,12.5,5.89034,572,0,-1
231,58.41,-182.69,1,8,1.37593,314,0,-1
232,224.37,38.8,1,9,11.9004,639,0,-1
233,59.27,-208.12,1,13,1.63441,153,0,-1
234,-212.66,-10.29,1,11,0.428015,274,0,-1
235,159.4,-147.25,1,9.5,2.62734,633,0,-1
236,48.4,21.81,1,6,8.37225,150,0,-1
237,-38.28,-130.71,1,7,11.3505,468,0,-1
238,215.26,24.21,1,9,1.61401,504,0,-1
239,-78.08,8.77,1,9,4.47688,699,0,-1
240,215.11,-90.81,1,5,1.61472,417,0,-1
241,-9.53,-141.34,1,11,5.64841,631,0,-1
242,-207.98,21.58,1,11,5.54116,789,0,-1
243,-64.75,210.24,1,13,5.93698,791,0,-1
244,-12.22,-168.81,1,10,5.92373,854,0,-1
245,-9.06,-150.24,1,13,2.88639,523,0,-1
246,-66.18,216.67,1,9,2.75524,418,0,-1
247,73.78,2.13,1,11,2.48073,462,0,-1
248,-187.19,86.95,1,13.5,4.71632,535,0,-1
249,73.53,-222.1,1,11,11.1787,149,0,-1
250,177.18,-128.47,1,12.5,3.63369,677,0,-1
251,199.47,-57.96,1,11.5,6.04348,7,0,-1
252,-45.63,-99.56,1,13,2.60325,15,0,-1
253,1.47,161.04,1,13,3.13192,458,0,-1
254,118.06,-212.92,1,11.5,7.02556,688,0,-1
255,-122.89,181.71,1,12.5,3.00794,722,0,-1
256,-95.65,180.45,1,13,5.70456,836,0,-1
257,-26.42,-152.77,1,9,6.05291,78,0,-1
258,101.84,-220.59,1,11,3.10337,574,0,-1
