index,x0,x1,weight,rho,delta,nh,isSeed,clusterId
0,-176.22,116.93,1,49,1.52454,83,0,0
1,218.17,52.38,1,23,1.57064,448,0,1
2,-89.5,177.68,1,69.5,17.8047,899,0,0
3,17.69,159.11,1,55,7.3433,785,0,0
4,32.57,126.57,1,54,6.02775,636,0,0
5,-134.56,171.5,1,60.5,5.21277,643,0,0
6,64.59,22.42,1,41,3.90749,893,0,0
7,203.91,-62.06,1,46,5.90529,416,0,1
8,215.74,16.84,1,33,1.12178,520,0,1
9,-30.16,-89.78,1,47.5,3.38362,20,0,1
10,38.38,-212.71,1,60,4.25029,482,0,1
11,-151.16,176.78,1,53.5,10.1297,543,0,0
12,-14.27,-136.73,1,54,0.0943415,513,0,1
13,-205.44,33.31,1,45,0.480416,802,0,0
14,64.77,-9.28,1,37.5,8.7845,271,0,0
15,-43.03,-99.43,1,47.5,2.60325,252,0,1
16,125.36,-195.01,1,63.5,5.52577,519,0,1
17,73.39,-207.4,1,66,2.38517,556,0,1
18,13.5,-179.57,1,62.5,1.32967,441,0,1
19,44.79,99.35,1,47,3.6316,323,0,0
20,-33.49,-90.38,1,49,12.5785,89,0,1
21,12.62,-180.7,1,62,1.43223,18,0,1
22,216.74,-76.29,1,45.5,4.60484,760,0,1
23,206.94,-49.17,1,42,0.460438,60,0,1
24,54.14,78.13,1,45,4.24457,450,0,0
25,-105.74,209.91,1,55.5,9.77382,784,0,0
26,-25.96,-108.45,1,52.5,1.30176,490,0,1
27,21.5,-182.47,1,67,6.41788,140,0,1
28,30.5,99.86,1,48.5,3.42537,37,0,0
29,-25.16,170.42,1,65,5.42826,431,0,0
30,-9.25,-134.59,1,54,5.38001,513,0,1
31,-198.58,38.93,1,46,3.35074,584,0,0
32,13.11,108.46,1,53,15.1973,340,0,0
33,42.71,-223.09,1,56.5,5.18645,115,0,1
34,28.28,108.22,1,50,6.7661,558,0,0
35,-73.75,57.1,1,20.5,2.24742,690,0,1
36,178.99,-132.23,1,53.5,4.17297,250,0,1
37,31.26,103.2,1,48.5,1.24145,402,0,0
38,-222.26,-41.87,1,30.5,5.8222,842,0,0
39,-199.13,-0.72,1,39.5,12.9086,653,0,0
40,25.91,-188.77,1,66.5,2.10447,140,0,1
41,176.88,-114.17,1,52.5,1.93066,929,0,1
42,-35.07,174.15,1,69.5,10.0175,527,0,0
43,167.95,-147.28,1,55,7.6257,633,0,1
44,37.22,-199.6,1,65.5,9.96095,196,0,1
45,170.44,-147.72,1,54,2.52858,43,0,1
46,87.05,-197.15,1,71.5,8.70395,111,0,1
47,212.87,-24.58,1,40,4.75926,165,0,1
48,193.73,-132.47,1,49,1.66388,408,0,1
49,-19.29,-144.43,1,52.5,3.75527,79,0,1
50,-67.26,68.37,1,20,6.5204,892,0,1
51,37.35,-203.51,1,64,3.91215,44,0,1
52,56.15,110.03,1,45.5,12.7253,323,0,0
53,-219.13,-49.93,1,28,4.6646,842,0,0
54,195.44,-107.29,1,49.5,5.34309,144,0,1
55,-81.46,213.23,1,56.5,9.2967,129,0,0
56,-167.99,151.89,1,52.5,4.47676,853,0,0
57,-14.35,148.48,1,61.5,12.53,669,0,0
58,-220.03,-63.37,1,23,1.59,502,0,0
59,195.42,-88.8,1,48,4.08074,375,0,1
60,206.68,-48.79,1,42,2.37993,98,0,1
61,76.3,-8.12,1,36.5,5.52935,339,0,0
62,-22.21,187.16,1,63,4.03823,186,0,0
63,-123.54,230,1,40.5,14.7991,533,0,0
64,28.7,116.84,1,52.5,3.77271,180,0,0
65,-169.69,120.9,1,49.5,2.28232,812,0,0
66,-99.54,192.2,1,64,4.87123,885,0,0
67,-210.38,31.95,1,44,1.7996,421,0,0
68,-198.3,105.99,1,44.5,6.922,570,0,0
69,-104.01,161.21,1,64,4.92165,396,0,0
70,-54.77,-65.28,1,45.5,4.90844,148,0,1
71,201.04,-109.31,1,48.5,5.95317,54,0,1
72,56.43,-225.16,1,59,9.47006,716,0,1
73,-52.6,204.64,1,63,4.95552,209,0,0
74,-92.18,197.11,1,63,3.1557,521,0,0
75,191.32,-99.99,1,50,4.96037,158,0,1
76,-130.75,176.56,1,60,3.89302,622,0,0
77,-165.08,113.21,1,49,5.73064,497,0,0
78,-21.32,-149.51,1,52,5.47059,49,0,1
79,-16.68,-141.73,1,53,4.35078,768,0,1
80,-190.73,77.06,1,47,5.40238,896,0,0
81,-72.77,17.04,1,33.5,4.41512,590,0,1
