index,x0,x1,layer,weight,rho,delta,nh,isSeed,clusterId
0,208.43,119.58,0,1,5.5,999,-1,0,-1
1,208.6,121.17,0,1,5.5,999,-1,0,-1
2,212.07,123.66,0,1,5.5,999,-1,0,-1
3,206.26,118.05,0,1,5.5,999,-1,0,-1
4,208.75,120.26,0,1,5.5,999,-1,0,-1
5,206.97,124.66,0,1,5.5,999,-1,0,-1
6,210.56,123.18,0,1,5.5,999,-1,0,-1
7,209.46,126.82,0,1,5.5,999,-1,0,-1
8,206.75,119.71,0,1,5.5,999,-1,0,-1
9,207.68,123.43,0,1,5.5,999,-1,0,-1
10,-60.52,-87.47,0,1,10.5,999,-1,0,-1
11,-59.93,-83.31,0,1,10.5,999,-1,0,-1
12,-63.31,-84.93,0,1,10.5,999,-1,0,-1
13,-60.9,-88.27,0,1,10.5,999,-1,0,-1
14,-58.06,-87.58,0,1,10.5,999,-1,0,-1
15,-65.84,-84.26,0,1,11,999,-1,0,-1
16,-59.12,-85.42,0,1,10.5,999,-1,0,-1
17,-57.43,-89.41,0,1,10.5,999,-1,0,-1
18,-63.88,-86.59,0,1,10.5,999,-1,0,-1
19,-62.5,-89.73,0,1,10.5,999,-1,0,-1
20,-40.52,-237.27,0,1,10,999,-1,0,-1
21,-37.63,-234.91,0,1,10.5,999,-1,0,-1
22,-40.22,-238.06,0,1,10,999,-1,0,-1
23,-36.73,-239.47,0,1,10.5,999,-1,0,-1
24,-40.48,-237.76,0,1,10,999,-1,0,-1
25,-38.06,-240.68,0,1,10.5,999,-1,0,-1
26,-36.3,-241.76,0,1,10.5,999,-1,0,-1
27,-38.44,-241.03,0,1,10.5,999,-1,0,-1
28,-41.24,-237.9,0,1,10,999,-1,0,-1
29,-38.18,-234.87,0,1,10.5,999,-1,0,-1
30,-95.88,-93.61,0,1,6,999,-1,0,-1
31,-93.56,-92.2,0,1,6,999,-1,0,-1
32,-92.02,-91.6,0,1,6,999,-1,0,-1
33,-92.78,-93.79,0,1,6,999,-1,0,-1
34,-94.32,-93.44,0,1,6,999,-1,0,-1
35,-93.55,-94.95,0,1,6,999,-1,0,-1
36,-94.63,-92.3,0,1,6,999,-1,0,-1
37,-94.32,-94.95,0,1,6,999,-1,0,-1
38,-92.68,-96.67,0,1,6,999,-1,0,-1
39,-91.78,-94.95,0,1,6,999,-1,0,-1
40,-235.05,173.82,0,1,5.5,999,-1,0,-1
41,-233.02,175.58,0,1,5.5,999,-1,0,-1
