index,x0,x1,weight,rho,delta,nh,isSeed,clusterId
0,208.43,119.58,1,5.5,0.751535,4,0,0
1,208.6,121.17,1,5.5,0.922275,4,0,0
2,212.07,123.66,1,5.5,1.58447,6,0,0
3,206.26,118.05,1,5.5,1.73081,8,0,0
4,208.75,120.26,1,5.5,2.07425,8,0,0
5,206.97,124.66,1,5.5,1.42021,9,0,0
6,210.56,123.18,1,5.5,2.89084,9,0,0
7,209.46,126.82,1,5.5,3.82891,9,0,0
8,206.75,119.71,1,5.5,3.83449,9,0,0
9,207.68,123.43,1,5.5,53.108,314,1,0
10,-60.52,-87.47,1,7.5,0.88566,13,0,12
11,-59.93,-83.31,1,5.5,2.26013,16,0,12
12,-63.31,-84.93,1,6.5,1.75513,18,0,12
13,-60.9,-88.27,1,8.5,2.16601,19,0,12
14,-58.06,-87.58,1,7,1.93541,17,0,12
15,-65.84,-84.26,1,5.5,2.61721,12,0,12
16,-59.12,-85.42,1,6.5,2.40608,14,0,12
17,-57.43,-89.41,1,7.5,3.65247,13,0,12
18,-63.88,-86.59,1,7.5,3.42094,13,0,12
19,-62.5,-89.73,1,9.5,4.66061,143,0,12
20,-40.52,-237.27,1,5.5,0.49162,24,0,1
21,-37.63,-234.91,1,7.5,0.551453,29,0,1
22,-40.22,-238.06,1,5.5,0.39699,24,0,1
23,-36.73,-239.47,1,9,2.33001,26,0,1
24,-40.48,-237.76,1,5.5,0.772789,28,0,1
25,-38.06,-240.68,1,7.5,0.516626,27,0,1
26,-36.3,-241.76,1,9,999,-1,1,1
27,-38.44,-241.03,1,7.5,2.26108,26,0,1
28,-41.24,-237.9,1,5.5,4.19964,27,0,1
29,-38.18,-234.87,1,7.5,4.82313,23,0,1
30,-95.88,-93.61,1,5.5,1.56923,34,0,2
31,-93.56,-92.2,1,5.5,1.07466,36,0,2
32,-92.02,-91.6,1,5.5,2.31813,33,0,2
33,-92.78,-93.79,1,5.5,1.3923,35,0,2
34,-94.32,-93.44,1,5.5,1.1814,36,0,2
35,-93.55,-94.95,1,5.5,0.769997,37,0,2
36,-94.63,-92.3,1,5.5,2.66806,37,0,2
37,-94.32,-94.95,1,5.5,2.37655,38,0,2
38,-92.68,-96.67,1,5.5,1.94124,39,0,2
39,-91.78,-94.95,1,5.5,20.5013,502,1,2
40,-235.05,173.82,1,5.5,1.91638,49,0,3
41,-233.02,175.58,1,5.5,0.845927,45,0,3
42,-235.44,176.73,1,5.5,1.27882,44,0,3
43,-234.1,177.83,1,5.5,0.795539,48,0,3
44,-234.21,176.38,1,5.5,1.09074,45,0,3
45,-233.12,176.42,1,5.5,1.3231,49,0,3
46,-228.79,174.68,1,5.5,2.4097,47,0,3
47,-231.08,173.93,1,5.5,3.12155,49,0,3
48,-234.87,178.03,1,5.5,2.87923,49,0,3
49,-233.87,175.33,1,5.5,36.3022,374,1,3
50,-82.81,-26.73,1,6,1.59399,966,0,85
51,-81.84,-29.48,1,6.5,0.77492,58,0,85
52,-77.61,-30.35,1,6,3.23025,54,0,85
53,-80.33,-24.66,1,6,2.07022,59,0,85
54,-80.54,-28.99,1,6.5,1.00648,57,0,85
55,-83.08,-28.65,1,6.5,0.451774,966,0,85
56,-83.34,-23.45,1,6.5,4.80026,966,0,85
57,-81.43,-28.52,1,6.5,1.81648,58,0,85
58,-82.07,-30.22,1,6.5,2.31718,966,0,85
59,-82.4,-24.63,1,6,1.50864,56,0,85
60,82.39,3.99,1,5.5,1.58474,68,0,4
61,80.6,2.22,1,5.5,1.45986,68,0,4
62,80.19,5.24,1,5.5,1.28969,63,0,4
63,81.26,5.96,1,5.5,2.33803,68,0,4
64,84.15,3.58,1,5.5,1.58091,67,0,4
65,80.84,8.3,1,5.5,3.07066,66,0,4
66,83.76,7.35,1,5.5,1.02771,69,0,4
67,85.02,4.9,1,5.5,1.79402,69,0,4
68,80.84,3.66,1,5.5,4.10542,69,0,4
69,83.95,6.34,1,5.5,32.237,127,1,4
70,1.88,-143.51,1,5.5,1.10802,71,0,5
71,2.54,-144.4,1,5.5,2.52241,78,0,5
72,8.49,-144.68,1,5.5,3.02035,77,0,5
73,4.39,-142.65,1,5.5,0.943401,79,0,5
74,5.77,-148.26,1,5.5,1.22449,75,0,5
75,6.82,-147.63,1,5.5,1.52267,77,0,5
76,5.42,-144.6,1,5.5,1.26626,79,0,5
77,5.98,-146.36,1,5.5,2.88196,78,0,5
78,3.14,-146.85,1,5.5,3.82395,79,0,5
79,4.89,-143.45,1,5.5,21.0571,945,1,5
80,133.38,49.69,1,5.5,0.718051,85,0,6
81,131.2,45.29,1,5.5,3.1763,84,0,6
82,134.29,46.2,1,5.5,2.4001,89,0,6
83,135.72,48.3,1,5.5,1.25543,87,0,6
84,132.45,48.21,1,5.5,1.5741,89,0,6
85,133.54,50.39,1,5.5,1.86271,89,0,6
86,128.94,49.14,1,5.5,0.793094,88,0,6
87,136.91,48.7,1,5.5,2.93246,89,0,6
88,129.25,48.41,1,5.5,4.73305,89,0,6
89,133.98,48.58,1,5.5,21.1234,423,1,6
90,-146.15,-24.05,1,5.5,2.02081,92,0,7
91,-144.5,-31.07,1,5.5,1.93941,95,0,7
92,-145.49,-25.96,1,5.5,1.69754,97,0,7
93,-146.51,-28.42,1,5.5,1.57623,95,0,7
94,-148.89,-26.26,1,5.5,1.5096,99,0,7
95,-145.17,-29.25,1,5.5,3.37001,98,0,7
96,-141.26,-22.38,1,5.5,6.17123,98,0,7
97,-147.18,-25.8,1,5.5,0.917609,99,0,7
98,-141.88,-28.52,1,5.5,5.85655,99,0,7
99,-147.44,-26.68,1,5.5,28.4013,769,1,7
100,107.08,-146.04,1,5.5,0.390512,101,0,8
101,107.46,-146.13,1,5.5,1.14726,107,0,8
